RENEWAL_ID,POLICY_ID,CUSTOMER_ID,RENEWAL_DUE_DATE,OLD_PREMIUM,NEW_PREMIUM,PREMIUM_INCREASE_PCT,CLAIM_HISTORY_FLAG,LOYALTY_YEARS,RENEWAL_PROBABILITY,RENEWAL_STATUS,CONTACT_CHANNEL,POLICY_TYPE,SALES_CHANNEL,PAYMENT_MODE,SUM_INSURED,ANNUAL_PREMIUM,RISK_SCORE,RISK_BAND,TOTAL_CLAIMS,TOTAL_CLAIM_AMOUNT,AVG_CLAIM_AMOUNT,MAX_CLAIM_AMOUNT,TOTAL_PAYMENTS_x,AVG_PAYMENT_DELAY_x,MAX_PAYMENT_DELAY_x,TOTAL_PAYMENTS_y,AVG_PAYMENT_DELAY_y,MAX_PAYMENT_DELAY_y,TOTAL_PAYMENTS,AVG_PAYMENT_DELAY,MAX_PAYMENT_DELAY,CUSTOMER_SINCE,CUSTOMER_TENURE_YEARS,AGE,GENDER,MARITAL_STATUS,OCCUPATION,ANNUAL_INCOME,STATE,CREDIT_SCORE,CUSTOMER_RISK_SEGMENT,TARGET_RENEWED,TARGET_CHURN
REN00016343,POL000079031,CUST00086271,2025-01-01,5983,6307,5.415343473173993,No,5,0.92,Renewed,Agent Visit,Personal Accident,Broker,Quarterly,1107223,5983,367,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-07-11,2.4777549623545516,49,Male,Married,Business Owner,508472,Uttar Pradesh,606,Low,1,0
REN00009637,POL000066962,CUST00092102,2025-01-01,5829,6375,9.366958311888832,Yes,1,0.7873,Renewed,Agent Visit,Personal Accident,Direct,Monthly,1310023,5829,471,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-10-28,-0.8213552361396304,49,Other,Married,Salaried,1488649,Uttar Pradesh,520,Medium,1,0
REN00015367,POL000069232,CUST00007228,2025-01-01,8045,8879,10.366687383467992,No,3,0.8685,Renewed,Call,Home,Corporate Partner,Monthly,1855678,8045,428,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-03-12,-0.19164955509924708,47,Other,Single,Salaried,882793,West Bengal,798,Low,1,0
REN00005555,POL000117303,CUST00087535,2025-01-01,7134,7920,11.01766190075694,No,8,0.8985,Renewed,WhatsApp,Motor,Broker,Annual,377396,7134,372,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-09-18,0.2874743326488706,34,Female,Married,Business Owner,522676,Odisha,721,High,1,0
REN00019391,POL000036310,CUST00089834,2025-01-01,47679,47802,0.2579752092116026,Yes,5,0.84,Renewed,Call,Health,Broker,Annual,1501282,47679,350,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-10-29,-0.8240930869267625,27,Male,Single,Salaried,841637,Odisha,710,Medium,1,0
REN00019849,POL000133262,CUST00015411,2025-01-01,24426,25972,6.329321215098665,No,5,0.92,Renewed,Email,Health,Agent,Quarterly,639541,24426,401,Low,2.0,78978.0,39489.0,51787.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-02-24,4.854209445585216,48,Male,Married,Salaried,508453,Gujarat,591,Low,1,0
REN00008558,POL000001745,CUST00063311,2025-01-01,13297,13882,4.399488606452583,Yes,8,0.864,Renewed,Email,Motor,Bancassurance,Annual,1151558,13297,372,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-07-20,6.453114305270363,60,Other,Married,Salaried,887014,Telangana,677,High,1,0
REN00018529,POL000073249,CUST00087157,2025-01-01,52569,54335,3.359394319846297,No,6,0.928,Renewed,Call,Commercial,Bancassurance,Annual,8574851,52569,420,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-02-07,2.8993839835728954,55,Other,Married,Self Employed,570082,Rajasthan,813,High,1,0
REN00017468,POL000044245,CUST00086199,2025-01-01,12306,12203,-0.8369900861368438,Yes,5,0.84,Renewed,SMS,Health,Online,Annual,1276151,12306,399,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2023-01-16,1.9603011635865846,34,Male,Married,Salaried,1768800,Tamil Nadu,742,Low,1,0
REN00019272,POL000039223,CUST00079296,2025-01-01,2306,2406,4.336513443191674,No,1,0.888,Renewed,Agent Visit,Travel,Bancassurance,Monthly,598100,2306,448,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2019-04-15,5.716632443531828,41,Male,Married,Salaried,553224,Gujarat,607,Low,1,0
REN00017686,POL000079440,CUST00065358,2025-01-01,18273,20922,14.496798555245444,No,2,0.7985,Renewed,WhatsApp,Term Life,Bancassurance,Annual,3718580,18273,449,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-08-31,0.33675564681724846,49,Male,Married,Retired,227080,Uttar Pradesh,674,Medium,1,0
REN00007985,POL000149000,CUST00095890,2025-01-01,13091,13879,6.019402643037202,Yes,2,0.816,Lapsed,SMS,Motor,Direct,Annual,663454,13091,363,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-08-01,3.4195756331279945,45,Female,Married,Salaried,634453,Kerala,716,Medium,0,1
REN00002091,POL000125337,CUST00024990,2025-01-01,23519,26856,14.188528423827544,No,4,0.8192,Lapsed,WhatsApp,Term Life,Online,Annual,4262455,23519,275,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-03-25,4.772073921971253,29,Female,Married,Salaried,797945,Gujarat,851,Medium,0,1
REN00004364,POL000109801,CUST00098135,2025-01-01,8721,8973,2.8895768833849327,No,8,0.944,Renewed,Email,Health,Direct,Quarterly,552861,8721,529,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-05-27,3.600273785078713,49,Male,Married,Salaried,864015,West Bengal,730,Low,1,0
REN00004013,POL000092474,CUST00096659,2025-01-01,11477,12315,7.301559641021173,No,4,0.912,Renewed,Email,Health,Corporate Partner,Monthly,457755,11477,337,Low,1.0,3519.0,3519.0,3519.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-06-30,-0.4928131416837782,28,Male,Single,Professional,851043,Kerala,624,Medium,1,0
REN00013520,POL000109312,CUST00063458,2025-01-01,12853,13354,3.897922663969501,Yes,5,0.84,Renewed,Agent Visit,Motor,Bancassurance,Monthly,335336,12853,488,Medium,1.0,154596.0,154596.0,154596.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-03-09,2.817248459958932,43,Male,Single,Professional,858870,Kerala,629,Low,1,0
REN00019915,POL000052384,CUST00082899,2025-01-01,5994,6453,7.657657657657657,No,1,0.888,Renewed,Call,Travel,Corporate Partner,Monthly,310174,5994,454,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-04-16,6.713210130047912,35,Female,Married,Government Employee,858137,Karnataka,761,Low,1,0
REN00001698,POL000000195,CUST00099886,2025-01-01,2361,2571,8.89453621346887,No,2,0.8821,Renewed,SMS,Travel,Corporate Partner,Monthly,244095,2361,359,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-03-12,0.8076659822039699,29,Other,Single,Self Employed,251423,West Bengal,746,Medium,1,0
REN00011824,POL000008432,CUST00063874,2025-01-01,10682,11336,6.122448979591836,No,5,0.92,Renewed,Email,Term Life,Agent,Annual,4097783,10682,369,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-09-17,0.29021218343600275,27,Male,Single,Salaried,922137,Telangana,724,High,1,0
REN00005642,POL000055563,CUST00028465,2025-01-01,13845,15232,10.018057060310582,No,3,0.8737,Renewed,Agent Visit,Motor,Broker,Annual,1275953,13845,494,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2026-04-04,-1.2539356605065024,53,Male,Married,Professional,483551,Telangana,623,Medium,1,0
REN00013275,POL000006946,CUST00022185,2025-01-01,9418,10390,10.320662561053302,No,4,0.877,Renewed,SMS,Term Life,Bancassurance,Half-Yearly,7910571,9418,401,Low,1.0,380753.0,380753.0,380753.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-02-08,6.896646132785763,43,Female,Divorced,Retired,378389,Kerala,722,Medium,1,0
REN00009765,POL000059202,CUST00064464,2025-01-01,4892,5164,5.560098119378577,No,6,0.928,Renewed,Email,Personal Accident,Broker,Quarterly,1251656,4892,379,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-10-28,0.17796030116358658,35,Male,Single,Government Employee,721449,Rajasthan,814,High,1,0
REN00011518,POL000133293,CUST00001857,2025-01-01,17757,19056,7.315424902855212,Yes,8,0.864,Renewed,Email,Term Life,Bancassurance,Annual,7116818,17757,426,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2019-03-16,5.798767967145791,39,Female,Widowed,Salaried,619608,Maharashtra,681,Low,1,0
REN00000899,POL000132587,CUST00074333,2025-01-01,30734,32946,7.197240840762674,No,2,0.896,Renewed,WhatsApp,Motor,Agent,Monthly,457436,30734,503,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-08-20,2.3682409308692676,27,Female,Married,Professional,819625,West Bengal,692,High,1,0
REN00005653,POL000105417,CUST00057047,2025-01-01,13069,14208,8.715280434616266,No,5,0.9092,Lapsed,WhatsApp,Motor,Broker,Monthly,244859,13069,371,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-01-19,0.9527720739219713,26,Male,Divorced,Salaried,577960,Rajasthan,734,Low,0,1
REN00016104,POL000031595,CUST00030910,2025-01-01,17742,19596,10.449780182617516,No,5,0.8833,Renewed,SMS,Motor,Online,Quarterly,598102,17742,398,Low,1.0,100354.0,100354.0,100354.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2023-02-06,1.9028062970568105,21,Female,Married,Government Employee,205450,Odisha,770,Medium,1,0
REN00019247,POL000128864,CUST00086627,2025-01-01,11700,11588,-0.9572649572649573,No,7,0.936,Renewed,WhatsApp,Health,Agent,Monthly,272818,11700,320,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2019-04-01,5.754962354551677,18,Female,Single,Salaried,844004,Karnataka,714,Low,1,0
REN00006447,POL000147140,CUST00062769,2025-01-01,15685,17655,12.55977048135161,No,4,0.8436,Renewed,Call,Motor,Online,Annual,329507,15685,378,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-10-21,-0.8021902806297057,39,Female,Married,Salaried,1310972,Uttar Pradesh,738,Medium,1,0
REN00019065,POL000118625,CUST00083720,2025-01-01,29254,30351,3.749914541601149,No,3,0.904,Renewed,SMS,Commercial,Corporate Partner,Annual,13347647,29254,303,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-04-26,6.685831622176591,31,Other,Married,Business Owner,1149870,Odisha,655,Medium,1,0
REN00008480,POL000056491,CUST00064571,2025-01-01,23661,26306,11.178732936055113,No,7,0.8883,Renewed,WhatsApp,Whole Life,Broker,Annual,2688649,23661,294,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-12-18,2.0396988364134154,19,Other,Single,Government Employee,199070,Kerala,722,Low,1,0
REN00016416,POL000071511,CUST00066816,2025-01-01,14981,15499,3.4577131032641346,No,5,0.92,Renewed,Call,Motor,Broker,Monthly,1422365,14981,365,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-01-24,-0.06297056810403832,32,Female,Married,Salaried,712516,West Bengal,880,Low,1,0
REN00012317,POL000098005,CUST00038658,2025-01-02,1200,1217,1.4166666666666665,No,4,0.912,Renewed,Email,Travel,Broker,Monthly,531094,1200,443,Low,1.0,30152.0,30152.0,30152.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-12-05,3.077344284736482,34,Female,Married,Professional,853133,Odisha,782,Low,1,0
REN00014712,POL000063515,CUST00017792,2025-01-02,32602,33567,2.95994110790749,Yes,2,0.816,Renewed,Agent Visit,Commercial,Agent,Monthly,12213656,32602,378,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-07-26,0.4380561259411362,37,Other,Married,Salaried,264708,Delhi,777,Low,1,0
REN00004928,POL000137567,CUST00001404,2025-01-02,34312,36109,5.237234786663558,No,8,0.944,Renewed,Call,Whole Life,Broker,Annual,1817607,34312,474,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-05-29,0.5968514715947981,52,Other,Married,Government Employee,337764,Rajasthan,677,Low,1,0
REN00011762,POL000129658,CUST00091159,2025-01-02,9758,10545,8.065177290428366,No,3,0.903,Renewed,Call,Personal Accident,Direct,Annual,2574518,9758,359,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-09-19,6.288843258042436,19,Male,Married,Professional,173194,Odisha,630,Low,1,0
REN00014405,POL000006755,CUST00073959,2025-01-02,2556,2726,6.651017214397497,No,7,0.936,Renewed,SMS,Travel,Corporate Partner,Half-Yearly,421626,2556,416,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2019-01-03,5.9986310746064335,53,Other,Single,Self Employed,853190,Tamil Nadu,784,Medium,1,0
REN00001432,POL000078423,CUST00065296,2025-01-02,14551,16014,10.054291801250773,No,7,0.9051,Renewed,Email,Motor,Bancassurance,Annual,594927,14551,365,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-05-16,0.6324435318275154,19,Female,Single,Salaried,708064,Uttar Pradesh,687,Medium,1,0
REN00012044,POL000066468,CUST00017796,2025-01-02,23052,25244,9.508936317889988,No,6,0.9054,Renewed,Email,Whole Life,Broker,Annual,1620074,23052,434,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-04-26,-0.31211498973305957,41,Female,Married,Government Employee,396636,Tamil Nadu,714,Medium,1,0
REN00003144,POL000107526,CUST00078059,2025-01-02,9016,10207,13.209849157054126,No,6,0.8497,Renewed,Email,Motor,Online,Annual,383447,9016,454,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-05-24,4.610540725530458,31,Other,Single,Salaried,1688197,Gujarat,804,Medium,1,0
REN00017594,POL000118897,CUST00062178,2025-01-02,2555,2832,10.841487279843443,No,5,0.8773,Renewed,Call,Travel,Online,Annual,265347,2555,376,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-11-08,0.15058179329226556,42,Female,Married,Self Employed,2141462,Odisha,620,Medium,1,0
REN00012325,POL000039600,CUST00035765,2025-01-02,18055,18596,2.996399889227361,Yes,3,0.824,Renewed,WhatsApp,Health,Agent,Annual,1492290,18055,330,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-11-07,6.154688569472964,24,Male,Married,Self Employed,468730,Maharashtra,691,Low,1,0
REN00018451,POL000062834,CUST00022944,2025-01-02,23416,26350,12.529894089511446,Yes,8,0.7961,Renewed,Call,Motor,Bancassurance,Half-Yearly,595667,23416,387,Low,1.0,351870.0,351870.0,351870.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2023-01-11,1.9767282683093772,46,Male,Married,Salaried,3189140,Karnataka,708,Low,1,0
REN00018957,POL000011894,CUST00079461,2025-01-02,14083,14761,4.814315131719094,Yes,5,0.84,Lapsed,WhatsApp,Motor,Online,Monthly,339807,14083,424,Low,1.0,37541.0,37541.0,37541.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-07-13,3.4743326488706368,41,Other,Married,Self Employed,464133,Rajasthan,679,Low,0,1
REN00016726,POL000119710,CUST00009493,2025-01-02,9360,10018,7.02991452991453,Yes,2,0.816,Renewed,WhatsApp,Personal Accident,Direct,Monthly,1119784,9360,323,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-03-02,4.837782340862423,42,Female,Divorced,Salaried,930973,Uttar Pradesh,760,Low,1,0
REN00015574,POL000044280,CUST00088772,2025-01-02,31220,33205,6.358103779628443,No,5,0.92,Renewed,Call,Whole Life,Direct,Half-Yearly,1509750,31220,491,Medium,1.0,339853.0,339853.0,339853.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-07-22,3.4496919917864477,36,Male,Married,Retired,1238298,Maharashtra,729,Low,1,0
REN00013291,POL000090244,CUST00066898,2025-01-02,3292,3551,7.867557715674361,No,8,0.944,Renewed,WhatsApp,Travel,Direct,Monthly,276020,3292,337,Low,1.0,19785.0,19785.0,19785.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-06-26,4.520191649555099,43,Other,Married,Professional,749527,West Bengal,735,Medium,1,0
REN00013269,POL000132357,CUST00088560,2025-01-02,13040,12089,-7.292944785276073,No,2,0.896,Renewed,Call,Motor,Online,Monthly,413982,13040,541,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-09-02,4.334017796030117,50,Other,Married,Salaried,666080,Kerala,701,Low,1,0
REN00013541,POL000051848,CUST00084875,2025-01-02,18045,18613,3.1476863397062895,No,1,0.888,Renewed,Call,Motor,Direct,Quarterly,509852,18045,337,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-10-08,3.2361396303901437,38,Male,Divorced,Retired,303365,Rajasthan,646,Low,1,0
REN00004481,POL000081515,CUST00031883,2025-01-02,10919,11736,7.482370180419452,Yes,4,0.832,Lapsed,Call,Health,Corporate Partner,Annual,638048,10919,466,Low,1.0,65100.0,65100.0,65100.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-08-10,2.3983572895277208,42,Male,Married,Professional,690623,Maharashtra,797,Low,0,1
REN00019081,POL000031706,CUST00046298,2025-01-02,25028,27145,8.45852645037558,No,5,0.9131,Renewed,SMS,Health,Agent,Monthly,806315,25028,440,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2025-10-11,-0.7720739219712526,38,Female,Married,Salaried,161736,Maharashtra,696,Low,1,0
REN00000513,POL000148957,CUST00048165,2025-01-02,42150,46133,9.449584816132859,No,3,0.8823,Renewed,Agent Visit,Commercial,Bancassurance,Annual,2366662,42150,499,Medium,1.0,347005.0,347005.0,347005.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-04-28,6.683093771389459,40,Other,Single,Professional,718940,Telangana,634,Medium,1,0
REN00007051,POL000110322,CUST00086291,2025-01-02,106101,115671,9.0197076370628,No,8,0.9287,Renewed,SMS,Commercial,Broker,Annual,8425713,106101,415,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2018-04-17,6.713210130047912,29,Male,Single,Salaried,510124,West Bengal,710,Low,1,0
REN00001495,POL000104433,CUST00088356,2025-01-02,17116,18644,8.927319467165226,No,5,0.9061,Renewed,SMS,Term Life,Online,Annual,3241255,17116,383,Low,1.0,189358.0,189358.0,189358.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2023-03-30,1.7631759069130732,41,Female,Married,Salaried,747646,Rajasthan,706,Medium,1,0
REN00005089,POL000007389,CUST00007773,2025-01-02,28897,34133,18.11952797868291,Yes,4,0.6802,Lapsed,Call,Term Life,Direct,Annual,5188708,28897,309,Low,1.0,515753.0,515753.0,515753.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2024-09-04,0.32854209445585214,36,Male,Married,Salaried,480999,Tamil Nadu,730,Low,0,1
REN00004526,POL000013464,CUST00058299,2025-01-02,7205,7131,-1.0270645385149202,No,6,0.928,Renewed,Email,Personal Accident,Direct,Annual,1502010,7205,457,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-07-19,2.458590006844627,55,Other,Single,Professional,392276,Odisha,691,Medium,1,0
REN00007728,POL000047067,CUST00075471,2025-01-02,2792,2910,4.226361031518625,No,5,0.92,Renewed,Email,Travel,Agent,Monthly,192975,2792,445,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-10-18,3.2087611225188226,39,Other,Married,Salaried,1176433,Uttar Pradesh,745,Medium,1,0
REN00002795,POL000122645,CUST00031608,2025-01-02,36072,37042,2.689066311820803,No,6,0.928,Renewed,WhatsApp,Commercial,Broker,Annual,9524174,36072,338,Low,1.0,326773.0,326773.0,326773.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2020-07-08,4.487337440109514,23,Other,Single,Government Employee,2352671,Gujarat,649,Low,1,0
REN00009321,POL000058913,CUST00003635,2025-01-02,39127,46435,18.677639481687837,No,2,0.7358,Renewed,Email,Commercial,Online,Annual,2137031,39127,514,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2026-08-28,-1.6509240246406571,45,Female,Married,Self Employed,4134957,Telangana,757,Low,1,0
REN00007807,POL000023942,CUST00057591,2025-01-02,23478,25353,7.986199846664962,No,7,0.936,Renewed,WhatsApp,Health,Direct,Annual,1861254,23478,458,Low,1.0,173807.0,173807.0,173807.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2022-12-16,2.0479123887748116,45,Female,Widowed,Self Employed,363509,Rajasthan,630,Medium,1,0
REN00005432,POL000034695,CUST00076295,2025-01-02,32373,34503,6.579557038272635,Yes,1,0.808,Renewed,Email,Motor,Online,Half-Yearly,516725,32373,421,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-06-14,3.5537303216974676,31,Male,Married,Salaried,422256,Delhi,677,Low,1,0
REN00008082,POL000086287,CUST00093978,2025-01-02,22130,23356,5.539990962494352,Yes,6,0.848,Renewed,Agent Visit,Whole Life,Online,Annual,4205782,22130,419,Low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2021-03-05,3.8302532511978096,41,Female,Single,Professional,589008,Delhi,839,High,1,0
