PREMIUM_TXN_ID,POLICY_ID,CUSTOMER_ID,DUE_DATE,PAID_DATE,PREMIUM_AMOUNT,PAYMENT_STATUS,PAYMENT_METHOD,PAYMENT_DELAY_DAYS,CHANNEL_COST
PRM000000018,POL000114037,CUST00017594,2026-08-07,2026-08-18,8523,Paid,UPI,11,277.05
PRM000000019,POL000024077,CUST00070951,2025-04-06,2025-04-06,3204,Paid,Net Banking,0,143.6
PRM000000020,POL000021994,CUST00013816,2025-11-17,2025-11-17,23597,Paid,Net Banking,0,569.96
PRM000000021,POL000116548,CUST00095015,2025-03-12,2025-03-12,2642,Paid,Cheque,0,26.79
PRM000000022,POL000085318,CUST00065281,2026-07-04,2026-07-04,13157,Paid,Credit Card,0,657.07
PRM000000023,POL000006151,CUST00068812,2025-09-16,2025-09-16,1216,Paid,Credit Card,0,43.81
PRM000000024,POL000014110,CUST00049373,2026-03-27,2026-04-07,17954,Paid,Net Banking,11,473.56
PRM000000025,POL000102263,CUST00013132,2026-07-24,2026-08-03,11779,Paid,Credit Card,10,511.84
PRM000000026,POL000111142,CUST00007704,2026-03-09,,17919,Pending,Cheque,,882.91
PRM000000027,POL000123949,CUST00034287,2025-08-02,,237,Pending,Credit Card,,6.1
PRM000000028,POL000002768,CUST00039747,2025-05-20,2025-06-17,4510,Paid,Debit Card,28,182.36
PRM000000029,POL000078956,CUST00034976,2026-02-12,2026-02-12,1845,Paid,Debit Card,0,26.71
PRM000000030,POL000074762,CUST00045706,2026-06-19,2026-06-22,80169,Paid,Credit Card,3,1638.92
PRM000000031,POL000132119,CUST00028911,2025-02-22,2025-03-05,847,Paid,Debit Card,11,12.44
PRM000000032,POL000070582,CUST00022087,2025-03-17,2025-03-23,1380,Paid,Auto Debit,6,66.92
PRM000000033,POL000049618,CUST00036842,2025-04-06,2025-04-23,13556,Paid,Cheque,17,499.99
PRM000000034,POL000017330,CUST00073977,2025-08-02,2025-08-02,2558,Paid,UPI,0,119.18
PRM000000035,POL000131522,CUST00080583,2025-01-20,2025-01-21,20414,Paid,Debit Card,1,430.93
PRM000000036,POL000112242,CUST00031951,2026-01-19,2026-01-28,20154,Paid,Net Banking,9,921.29
PRM000000037,POL000130442,CUST00025692,2026-04-09,2026-04-11,3643,Paid,UPI,2,69.23
PRM000000038,POL000092917,CUST00043168,2025-06-21,2025-06-21,2171,Paid,UPI,0,90.13
PRM000000039,POL000086592,CUST00011537,2026-04-20,2026-04-29,4027,Paid,Auto Debit,9,55.17
PRM000000040,POL000049804,CUST00093967,2026-04-21,2026-04-25,17942,Paid,Auto Debit,4,411.59
PRM000000041,POL000005260,CUST00016157,2025-01-15,2025-01-21,27517,Paid,Debit Card,6,709.31
PRM000000042,POL000113927,CUST00043854,2025-02-26,,3309,Failed,UPI,,94.65
PRM000000043,POL000137332,CUST00054952,2026-02-01,2026-02-01,2831,Paid,Auto Debit,0,39.6
PRM000000044,POL000007517,CUST00092822,2025-06-27,2025-06-30,1527,Paid,UPI,3,23.1
PRM000000045,POL000048949,CUST00077861,2026-07-18,2026-07-18,18440,Paid,Debit Card,0,679.07
PRM000000046,POL000041235,CUST00067260,2025-02-26,,54218,Overdue,Auto Debit,,2579.26
PRM000000047,POL000069917,CUST00089020,2026-06-21,,4030,Overdue,Debit Card,,66.76
PRM000000048,POL000093607,CUST00065137,2026-07-24,2026-08-11,1776,Paid,Cheque,18,34.73
PRM000000049,POL000033666,CUST00096398,2025-10-06,2025-10-06,2127,Paid,Debit Card,0,102.77
PRM000000050,POL000065131,CUST00043571,2025-10-27,2025-10-27,17046,Paid,Debit Card,0,222.24
PRM000000051,POL000088003,CUST00059222,2025-07-21,2025-07-27,7258,Paid,Net Banking,6,105.62
PRM000000052,POL000014926,CUST00011035,2025-03-26,2025-04-16,16806,Paid,Credit Card,21,634.76
PRM000000053,POL000086507,CUST00008231,2026-07-16,2026-07-29,4320,Paid,UPI,13,135.24
PRM000000054,POL000146371,CUST00079963,2025-11-24,2025-12-01,14123,Paid,Net Banking,7,283.12
PRM000000055,POL000137849,CUST00006526,2025-08-01,2025-08-11,2938,Paid,UPI,10,37.74
PRM000000056,POL000002937,CUST00079256,2026-03-04,2026-03-04,1679,Paid,Credit Card,0,44.72
PRM000000057,POL000134908,CUST00037276,2025-09-21,2025-09-28,988,Paid,Cheque,7,43.02
PRM000000058,POL000000029,CUST00050013,2025-09-26,2025-09-29,2733,Paid,Cheque,3,43.95
PRM000000059,POL000073716,CUST00034155,2026-03-06,2026-03-29,18122,Paid,Credit Card,23,316.47
PRM000000060,POL000033307,CUST00008134,2025-01-31,2025-01-31,3291,Paid,Cheque,0,161.88
PRM000000061,POL000143537,CUST00074141,2025-03-17,2025-03-17,13064,Paid,Credit Card,0,587.31
PRM000000062,POL000027465,CUST00070682,2026-05-07,2026-05-07,4836,Paid,Cheque,0,153.12
PRM000000063,POL000013802,CUST00033577,2025-05-22,2025-05-22,6967,Paid,Auto Debit,0,135.26
PRM000000064,POL000031499,CUST00059129,2025-10-10,2025-10-26,16762,Paid,Auto Debit,16,550.53
PRM000000065,POL000021316,CUST00098970,2025-07-10,2025-07-10,13000,Paid,Cheque,0,395.24
PRM000000066,POL000102170,CUST00005863,2026-04-16,,16757,Overdue,Debit Card,,813.54
PRM000000067,POL000061211,CUST00077550,2026-06-24,2026-06-27,7438,Paid,Auto Debit,3,304.83
PRM000000068,POL000014763,CUST00059455,2025-11-03,2025-11-27,12372,Paid,UPI,24,541.83
PRM000000069,POL000036082,CUST00044205,2026-03-09,2026-03-09,3527,Paid,Net Banking,0,132.3
PRM000000070,POL000085694,CUST00044856,2026-03-15,2026-03-25,2651,Paid,Credit Card,10,114.44
PRM000000071,POL000134687,CUST00061433,2025-12-07,2025-12-15,10192,Paid,Auto Debit,8,401.88
PRM000000072,POL000005461,CUST00029038,2025-03-03,2025-03-15,18827,Paid,Auto Debit,12,803.75
PRM000000073,POL000047998,CUST00067379,2025-10-13,2025-10-27,2791,Paid,Cheque,14,126.85
PRM000000074,POL000121379,CUST00011752,2025-12-04,2025-12-09,13200,Paid,Credit Card,5,315.22
PRM000000075,POL000024394,CUST00013446,2025-05-21,2025-05-21,3655,Paid,Auto Debit,0,66.87
PRM000000076,POL000081077,CUST00016292,2025-01-19,2025-02-07,1576,Paid,Net Banking,19,58.42
PRM000000077,POL000015124,CUST00089180,2026-03-19,2026-03-25,11629,Paid,Net Banking,6,135.27
PRM000000078,POL000128082,CUST00009348,2026-04-23,2026-04-23,44019,Paid,Debit Card,0,1056.78
PRM000000079,POL000060255,CUST00045336,2026-08-04,2026-08-04,5393,Paid,Cheque,0,232.99
PRM000000080,POL000065110,CUST00059082,2025-01-17,2025-01-17,14086,Paid,Auto Debit,0,665.95
PRM000000081,POL000076434,CUST00082667,2025-08-15,2025-08-20,4380,Paid,Credit Card,5,192.99
PRM000000082,POL000146002,CUST00016376,2025-04-19,2025-04-20,43641,Paid,Cheque,1,1690.19
PRM000000083,POL000031628,CUST00091012,2025-03-03,2025-04-17,5526,Paid,UPI,45,194.44
PRM000000084,POL000068221,CUST00054538,2025-08-19,2025-09-04,9708,Paid,Credit Card,16,172.61
PRM000000085,POL000109161,CUST00093255,2026-05-28,2026-06-15,707,Paid,Auto Debit,18,19.67
PRM000000086,POL000119032,CUST00099357,2025-08-18,,17424,Overdue,Debit Card,,571.02
PRM000000087,POL000020094,CUST00028987,2026-05-09,2026-05-12,2084,Paid,Auto Debit,3,59.01
PRM000000088,POL000126431,CUST00012022,2025-06-02,2025-06-08,1511,Paid,Credit Card,6,63.5
PRM000000089,POL000055488,CUST00028633,2025-08-20,,652,Pending,Auto Debit,,23.49
PRM000000090,POL000008893,CUST00022156,2026-08-04,2026-08-24,4085,Paid,UPI,20,171.94
PRM000000091,POL000015353,CUST00072841,2025-05-27,2025-06-02,17106,Paid,Net Banking,6,700.01
PRM000000092,POL000141553,CUST00000748,2025-01-06,2025-01-06,6936,Paid,Cheque,0,152.15
PRM000000093,POL000004788,CUST00058272,2026-01-14,2026-01-22,26286,Paid,Cheque,8,501.58
PRM000000094,POL000147684,CUST00045138,2025-04-10,2025-04-13,8539,Paid,Auto Debit,3,276.94
PRM000000095,POL000072320,CUST00050437,2025-05-16,2025-05-21,2623,Paid,Cheque,5,105.14
PRM000000096,POL000044182,CUST00082093,2026-04-19,2026-04-29,4198,Paid,Credit Card,10,166.23
PRM000000097,POL000104497,CUST00038140,2026-05-19,2026-05-20,1612,Paid,UPI,1,71.22
PRM000000098,POL000031709,CUST00094158,2025-09-11,2025-09-27,10619,Paid,Debit Card,16,315.05
PRM000000099,POL000147950,CUST00080342,2025-03-01,2025-03-07,16679,Paid,Credit Card,6,207.58
PRM000000100,POL000145287,CUST00063784,2025-05-05,2025-05-21,9259,Paid,UPI,16,382.44
PRM000000101,POL000033773,CUST00053843,2025-06-22,,6459,Failed,Debit Card,,270.74
PRM000000102,POL000106670,CUST00039335,2025-01-19,2025-01-19,8438,Paid,Cheque,0,388.4
PRM000000103,POL000131330,CUST00087378,2025-03-23,2025-03-24,27630,Paid,Auto Debit,1,1060.06
PRM000000104,POL000124586,CUST00091248,2026-01-01,2026-01-03,4420,Paid,Debit Card,2,92.01
PRM000000105,POL000095251,CUST00078728,2025-03-25,2025-04-04,68210,Paid,UPI,10,868.22
PRM000000106,POL000047359,CUST00043704,2025-06-15,2025-06-15,71679,Paid,UPI,0,2995.9
PRM000000107,POL000050263,CUST00043212,2025-02-16,2025-02-18,18924,Paid,Auto Debit,2,389.7
PRM000000108,POL000092573,CUST00019126,2025-08-25,2025-09-13,404,Paid,UPI,19,9.65
PRM000000109,POL000086517,CUST00090338,2025-01-14,2025-01-24,20971,Paid,UPI,10,449.95
PRM000000110,POL000056839,CUST00084565,2025-04-03,,6692,Overdue,Debit Card,,86.36
PRM000000111,POL000030569,CUST00064809,2026-07-06,2026-07-20,4349,Paid,UPI,14,139.19
PRM000000112,POL000026173,CUST00064654,2026-04-26,,303,Pending,Cheque,,5.96
PRM000000113,POL000138897,CUST00094633,2025-04-23,2025-04-30,3177,Paid,Debit Card,7,52.72
PRM000000114,POL000025561,CUST00029581,2026-08-18,2026-08-22,1731,Paid,Net Banking,4,60.86
PRM000000115,POL000116459,CUST00014833,2025-03-18,2025-03-18,3336,Paid,UPI,0,62.5
PRM000000116,POL000102619,CUST00098724,2026-02-20,2026-02-26,29484,Paid,Net Banking,6,1213.42
PRM000000117,POL000112321,CUST00059503,2025-01-19,2025-01-19,1034,Paid,Debit Card,0,22.41
PRM000000118,POL000076978,CUST00010366,2025-02-17,2025-02-17,869,Paid,UPI,0,17.47
PRM000000119,POL000086996,CUST00031436,2026-03-01,2026-03-15,1691,Paid,UPI,14,83.14
PRM000000120,POL000093211,CUST00023724,2026-07-03,2026-07-03,2364,Paid,Debit Card,0,75.83
PRM000000121,POL000039833,CUST00098577,2025-10-10,2025-10-21,3160,Paid,Cheque,11,140.99
PRM000000122,POL000118798,CUST00064824,2025-06-18,2025-06-26,737,Paid,Net Banking,8,27.62
PRM000000123,POL000056631,CUST00022414,2026-07-02,2026-07-02,14958,Paid,Net Banking,0,566.66
PRM000000124,POL000091472,CUST00012198,2025-02-11,,20433,Failed,Debit Card,,846.53
PRM000000125,POL000025648,CUST00011176,2025-12-12,2025-12-18,1258,Paid,Cheque,6,20.71
PRM000000126,POL000034003,CUST00082517,2025-08-29,2025-09-14,17977,Paid,Net Banking,16,819.21
PRM000000127,POL000126397,CUST00095877,2025-12-09,2025-12-24,25869,Paid,Cheque,15,888.06
PRM000000128,POL000021095,CUST00010479,2025-04-13,2025-04-25,1229,Paid,Cheque,12,17.75
PRM000000129,POL000020429,CUST00016390,2025-12-18,2025-12-28,3217,Paid,Auto Debit,10,147.97
PRM000000130,POL000016335,CUST00081139,2025-02-13,,1384,Failed,Cheque,,64.93
PRM000000131,POL000000974,CUST00017121,2026-01-25,2026-01-25,3616,Paid,Auto Debit,0,135.88
PRM000000132,POL000108368,CUST00012917,2026-08-21,2026-08-25,1301,Paid,UPI,4,40.12
PRM000000133,POL000015495,CUST00084998,2025-08-12,2025-08-17,11344,Paid,UPI,5,450.58
PRM000000134,POL000146505,CUST00037098,2026-05-16,2026-05-28,10686,Paid,Credit Card,12,433.89
PRM000000135,POL000122151,CUST00042574,2025-10-26,2025-11-07,1452,Paid,Net Banking,12,52.05
PRM000000136,POL000089558,CUST00048629,2025-12-13,2025-12-13,8125,Paid,Auto Debit,0,266.78
PRM000000137,POL000004995,CUST00054888,2025-03-24,,10513,Overdue,Cheque,,500.95
PRM000000138,POL000001335,CUST00057148,2025-12-27,2026-01-14,14183,Paid,Net Banking,18,435.91
PRM000000139,POL000062968,CUST00009861,2025-01-23,2025-01-23,4792,Paid,UPI,0,212.71
PRM000000140,POL000110255,CUST00029037,2026-03-28,2026-04-08,21318,Paid,UPI,11,343.32
PRM000000141,POL000010276,CUST00055733,2026-02-16,,351,Pending,Debit Card,,4.34
PRM000000142,POL000107858,CUST00072072,2025-04-16,2025-04-17,6895,Paid,Cheque,1,82.58
PRM000000143,POL000055458,CUST00007194,2026-01-25,2026-01-25,12984,Paid,Debit Card,0,229.96
PRM000000144,POL000143734,CUST00099022,2025-03-15,2025-03-29,1989,Paid,UPI,14,93.73
PRM000000145,POL000075946,CUST00013118,2025-03-01,2025-03-11,1674,Paid,Net Banking,10,31.79
PRM000000146,POL000031044,CUST00088409,2025-07-04,2025-07-04,30449,Paid,Credit Card,0,1318.22
PRM000000147,POL000060909,CUST00010452,2025-07-08,2025-07-21,15259,Paid,Auto Debit,13,618.2
PRM000000148,POL000016889,CUST00058989,2025-06-06,2025-06-06,1114,Paid,Debit Card,0,42.15
PRM000000149,POL000140256,CUST00024741,2025-01-21,2025-01-27,24300,Paid,Credit Card,6,765.14
PRM000000150,POL000039917,CUST00026371,2025-03-14,2025-03-14,2650,Paid,Debit Card,0,115.52
PRM000000151,POL000102836,CUST00014563,2025-01-23,2025-01-23,12927,Paid,Credit Card,0,292.98
PRM000000152,POL000060367,CUST00018000,2026-08-18,2026-09-04,16131,Paid,Debit Card,17,517.61
PRM000000153,POL000068912,CUST00052210,2025-02-17,2025-03-02,1153,Paid,Debit Card,13,14.12
PRM000000154,POL000124631,CUST00089701,2026-04-22,2026-04-22,11612,Paid,Cheque,0,177.92
PRM000000155,POL000015023,CUST00065508,2026-01-06,2026-01-11,1734,Paid,Debit Card,5,78.18
PRM000000156,POL000031824,CUST00017823,2025-09-20,2025-09-23,31708,Paid,Auto Debit,3,957.31
PRM000000157,POL000095031,CUST00062761,2025-02-16,2025-03-12,3922,Paid,Debit Card,24,128.21
PRM000000158,POL000058940,CUST00094461,2025-12-24,2025-12-24,7924,Paid,Debit Card,0,122.41
PRM000000159,POL000141066,CUST00025933,2025-12-02,2025-12-05,1437,Paid,Debit Card,3,34.32
PRM000000160,POL000089443,CUST00027087,2025-03-12,2025-03-24,12188,Paid,Credit Card,12,598.04
PRM000000161,POL000100646,CUST00045350,2025-08-25,2025-09-03,975,Paid,Cheque,9,36.64
PRM000000162,POL000068694,CUST00059980,2025-06-14,2025-06-14,349,Paid,Net Banking,0,3.75
PRM000000163,POL000106838,CUST00051132,2025-10-13,2025-10-13,9180,Paid,Credit Card,0,336.63
PRM000000164,POL000032423,CUST00085291,2025-12-28,2025-12-28,1249,Paid,Cheque,0,18.82
PRM000000165,POL000095034,CUST00031268,2025-04-27,,1805,Overdue,Auto Debit,,35.49
PRM000000166,POL000047932,CUST00071086,2026-02-10,2026-02-28,5318,Paid,Debit Card,18,117.02
PRM000000167,POL000057788,CUST00063683,2026-01-21,2026-01-21,4841,Paid,Debit Card,0,101.95
PRM000000168,POL000032563,CUST00008917,2025-09-14,2025-10-04,6231,Paid,Auto Debit,20,253.5
PRM000000169,POL000060257,CUST00004147,2026-05-28,2026-06-03,3590,Paid,Cheque,6,99.33
PRM000000170,POL000019916,CUST00080251,2025-11-27,2025-11-27,14465,Paid,UPI,0,240.44
PRM000000171,POL000056322,CUST00033140,2026-03-24,2026-03-24,274,Paid,Auto Debit,0,10.28
PRM000000172,POL000036569,CUST00030179,2026-03-06,2026-03-06,1276,Paid,Auto Debit,0,45.27
PRM000000173,POL000067768,CUST00067222,2026-01-07,2026-01-12,1799,Paid,Debit Card,5,89.54
PRM000000174,POL000070159,CUST00091462,2025-07-30,2025-08-11,31282,Paid,Cheque,12,1117.76
PRM000000175,POL000022560,CUST00061208,2025-06-12,,2648,Overdue,Credit Card,,125.93
PRM000000176,POL000147687,CUST00045020,2025-01-21,2025-01-21,4306,Paid,Net Banking,0,53.44
PRM000000177,POL000038861,CUST00012210,2026-05-26,2026-05-28,32510,Paid,Credit Card,2,1204.41
PRM000000178,POL000088502,CUST00014847,2025-07-22,2025-07-28,1490,Paid,Auto Debit,6,22.63
PRM000000179,POL000122820,CUST00042102,2026-03-11,,3177,Overdue,Cheque,,151.4
PRM000000180,POL000032618,CUST00086994,2025-04-19,2025-05-05,61947,Paid,UPI,16,831.96
PRM000000181,POL000027748,CUST00076740,2026-07-14,2026-07-14,9701,Paid,Debit Card,0,159.5
PRM000000182,POL000029014,CUST00072141,2026-03-16,2026-03-16,12440,Paid,Auto Debit,0,295.56
PRM000000183,POL000039774,CUST00096574,2025-01-26,2025-02-15,21372,Paid,Debit Card,20,984.03
PRM000000184,POL000048247,CUST00009973,2025-06-09,,1605,Failed,Credit Card,,67.38
PRM000000185,POL000050520,CUST00092913,2025-11-15,2025-11-29,867,Paid,Credit Card,14,39.15
PRM000000186,POL000022588,CUST00027167,2025-02-02,2025-02-02,1100,Paid,Auto Debit,0,52.56
PRM000000187,POL000105303,CUST00041856,2026-04-15,2026-05-05,14275,Paid,Debit Card,20,655.54
PRM000000188,POL000052964,CUST00087931,2026-07-30,2026-07-30,19434,Paid,Cheque,0,925.4
PRM000000189,POL000106960,CUST00070000,2025-11-11,2025-12-02,27091,Paid,Credit Card,21,393.15
PRM000000190,POL000036767,CUST00067404,2026-04-13,2026-05-09,17394,Paid,UPI,26,564.8
PRM000000191,POL000112186,CUST00059978,2025-01-11,2025-01-21,13063,Paid,Debit Card,10,562.7
PRM000000192,POL000052226,CUST00026303,2026-07-04,2026-07-14,326,Paid,Net Banking,10,11.96
PRM000000193,POL000002853,CUST00004299,2026-03-12,2026-03-12,976,Paid,Debit Card,0,15.82
PRM000000194,POL000094531,CUST00052084,2025-11-26,2025-11-26,42797,Paid,Credit Card,0,1962.32
PRM000000195,POL000025058,CUST00079721,2025-05-29,2025-05-29,44279,Paid,UPI,0,2115.79
PRM000000196,POL000029347,CUST00051985,2025-01-12,2025-01-22,1925,Paid,UPI,10,90.78
PRM000000197,POL000084668,CUST00088421,2026-05-01,2026-05-18,883,Paid,Cheque,17,17.81
PRM000000198,POL000030984,CUST00030897,2025-06-24,2025-06-24,2538,Paid,UPI,0,125.67
PRM000000199,POL000110082,CUST00077582,2026-06-30,2026-07-04,1066,Paid,Debit Card,4,15.05
PRM000000200,POL000006460,CUST00052963,2026-04-11,2026-04-19,1048,Paid,Cheque,8,40.37
PRM000000201,POL000039982,CUST00022801,2026-05-18,,1570,Failed,UPI,,78.29
PRM000000202,POL000084223,CUST00034976,2025-10-26,2025-10-29,2097,Paid,Debit Card,3,51.46
PRM000000203,POL000061615,CUST00011957,2026-06-06,2026-06-12,18738,Paid,Auto Debit,6,205.61
PRM000000204,POL000041266,CUST00090036,2025-08-09,2025-08-09,610,Paid,Debit Card,0,6.69
PRM000000205,POL000005944,CUST00084675,2025-11-08,2025-11-08,57229,Paid,Cheque,0,2051.29
PRM000000206,POL000106269,CUST00048012,2026-01-28,2026-01-29,13632,Paid,Credit Card,1,584.37
PRM000000207,POL000131578,CUST00050722,2025-04-28,2025-04-28,1372,Paid,Net Banking,0,33.09
PRM000000208,POL000115179,CUST00074274,2025-08-05,2025-08-30,58763,Paid,Credit Card,25,669.62
PRM000000209,POL000037224,CUST00031459,2025-06-07,2025-06-07,840,Paid,Credit Card,0,39.52
PRM000000210,POL000106303,CUST00094286,2026-07-17,2026-07-17,5086,Paid,Cheque,0,101.5
PRM000000211,POL000016608,CUST00007384,2025-06-05,2025-06-07,21639,Paid,UPI,2,1000.98
PRM000000212,POL000022133,CUST00019998,2025-11-05,2025-11-05,22532,Paid,Cheque,0,424.07
PRM000000213,POL000141479,CUST00042039,2026-07-12,2026-07-18,1410,Paid,Credit Card,6,55.36
PRM000000214,POL000070456,CUST00093113,2025-01-25,2025-01-29,14728,Paid,Credit Card,4,505.73
PRM000000215,POL000070916,CUST00058563,2025-08-23,2025-10-02,1595,Paid,Net Banking,40,32.88
PRM000000216,POL000087405,CUST00061532,2026-03-04,2026-03-04,3940,Paid,Net Banking,0,89.27
PRM000000217,POL000033687,CUST00082309,2026-02-27,2026-02-27,11683,Paid,Net Banking,0,261.34
PRM000000218,POL000045544,CUST00080005,2026-04-19,,3925,Overdue,Cheque,,43.08
PRM000000219,POL000123703,CUST00006193,2026-05-24,2026-05-24,3000,Paid,Net Banking,0,102.94
PRM000000220,POL000066472,CUST00058512,2025-10-25,2025-11-20,15215,Paid,Debit Card,26,402.88
PRM000000221,POL000096578,CUST00060210,2025-07-12,2025-08-01,14898,Paid,Debit Card,20,396.46
PRM000000222,POL000061740,CUST00025176,2026-06-13,2026-06-26,6141,Paid,UPI,13,141.95
PRM000000223,POL000035954,CUST00015695,2025-12-01,,25431,Overdue,Debit Card,,479.16
PRM000000224,POL000068175,CUST00040022,2026-03-18,2026-03-18,1524,Paid,UPI,0,41.67
PRM000000225,POL000094892,CUST00027735,2025-07-14,,390,Overdue,Auto Debit,,9.63
PRM000000226,POL000129914,CUST00091212,2026-05-23,2026-05-27,44978,Paid,Cheque,4,611.9
PRM000000227,POL000011183,CUST00043481,2025-05-31,2025-06-10,810,Paid,Auto Debit,10,10.78
PRM000000228,POL000135970,CUST00056144,2025-07-10,2025-07-23,5438,Paid,Net Banking,13,67.1
PRM000000229,POL000065558,CUST00037982,2026-03-24,2026-04-01,26727,Paid,UPI,8,729.04
PRM000000230,POL000055863,CUST00098876,2026-05-08,2026-05-08,1516,Paid,UPI,0,37.0
PRM000000231,POL000069986,CUST00093271,2025-06-18,2025-06-25,1822,Paid,Debit Card,7,69.04
PRM000000232,POL000005613,CUST00099299,2025-03-18,2025-03-18,5476,Paid,Debit Card,0,122.57
PRM000000233,POL000003170,CUST00025666,2025-04-04,2025-04-14,1308,Paid,Net Banking,10,21.98
PRM000000234,POL000035865,CUST00058024,2026-04-16,2026-04-17,13436,Paid,Credit Card,1,600.89
PRM000000235,POL000004652,CUST00020246,2026-03-08,2026-03-16,6980,Paid,Credit Card,8,271.63
PRM000000236,POL000135253,CUST00010813,2025-02-05,2025-02-11,27781,Paid,Debit Card,6,851.98
PRM000000237,POL000012198,CUST00060453,2025-03-20,2025-03-21,10086,Paid,Credit Card,1,311.5
PRM000000238,POL000028025,CUST00084945,2025-01-26,2025-02-06,875,Paid,Net Banking,11,35.02
PRM000000239,POL000050343,CUST00000496,2025-04-01,,26712,Failed,Auto Debit,,421.4
PRM000000240,POL000047504,CUST00037464,2025-08-27,2025-08-27,4513,Paid,Net Banking,0,121.71
PRM000000241,POL000047733,CUST00028637,2025-04-01,2025-04-01,1051,Paid,Net Banking,0,33.19
PRM000000242,POL000045478,CUST00049627,2026-08-02,2026-08-02,4684,Paid,Credit Card,0,121.51
PRM000000243,POL000081456,CUST00062533,2026-05-18,2026-05-30,409,Paid,Credit Card,12,5.01
PRM000000244,POL000107204,CUST00047530,2026-04-12,2026-04-12,1692,Paid,Cheque,0,26.4
PRM000000245,POL000110199,CUST00036250,2026-05-13,2026-05-18,1107,Paid,Debit Card,5,54.01
PRM000000246,POL000064671,CUST00067134,2025-09-24,2025-09-27,5587,Paid,Auto Debit,3,199.23
PRM000000247,POL000084268,CUST00095557,2025-11-24,2025-12-02,7376,Paid,Credit Card,8,288.74
PRM000000248,POL000123172,CUST00065004,2025-10-04,2025-10-04,13506,Paid,UPI,0,555.23
PRM000000249,POL000120200,CUST00072907,2026-08-19,2026-08-27,4461,Paid,UPI,8,83.5
PRM000000250,POL000069827,CUST00074041,2026-05-17,2026-06-02,472,Paid,Net Banking,16,10.63
PRM000000251,POL000017427,CUST00001277,2025-04-14,2025-04-14,1018,Paid,Credit Card,0,16.22
PRM000000252,POL000123445,CUST00029609,2026-07-06,2026-07-06,7353,Paid,Auto Debit,0,284.3
PRM000000253,POL000030934,CUST00026639,2025-10-18,2025-10-19,20032,Paid,Credit Card,1,310.08
PRM000000254,POL000105995,CUST00057223,2025-11-29,2025-11-30,1038,Paid,Cheque,1,47.43
PRM000000255,POL000076336,CUST00087106,2026-05-08,2026-05-08,4963,Paid,Credit Card,0,206.39
PRM000000256,POL000107427,CUST00023405,2025-01-20,2025-01-20,1946,Paid,Credit Card,0,89.68
PRM000000257,POL000003674,CUST00074699,2026-06-04,2026-06-07,35603,Paid,Cheque,3,611.97
PRM000000258,POL000139334,CUST00090647,2026-07-18,2026-07-24,15756,Paid,Debit Card,6,681.46
PRM000000259,POL000090983,CUST00027958,2025-06-19,2025-07-06,6705,Paid,Cheque,17,109.58
PRM000000260,POL000134631,CUST00053852,2025-06-30,2025-07-02,3893,Paid,Credit Card,2,83.38
PRM000000261,POL000000146,CUST00037124,2025-04-24,2025-05-15,6721,Paid,Credit Card,21,154.45
PRM000000262,POL000003285,CUST00088102,2026-04-23,,15799,Failed,UPI,,525.37
PRM000000263,POL000104093,CUST00030931,2026-01-07,2026-01-07,59377,Paid,Net Banking,0,2100.21
PRM000000264,POL000007220,CUST00077305,2026-05-07,2026-05-14,396,Paid,Debit Card,7,5.4
PRM000000265,POL000003156,CUST00082433,2026-02-04,,17316,Overdue,Credit Card,,190.0
