AGENT_ID,AGENT_NAME,AGENT_TYPE,REGION,EXPERIENCE_YEARS,COMMISSION_PCT,POLICIES_SOLD,RENEWAL_RATE_PCT,STATUS,JOIN_DATE
AGT000079,Agent 00079,Bank Partner,Central,1,4.91,218,77.95,Inactive,2022-05-05
AGT000080,Agent 00080,Individual Agent,East,8,9.11,169,72.21,Active,2017-05-15
AGT000081,Agent 00081,Digital Partner,East,5,1.71,222,73.04,Active,2025-01-10
AGT000082,Agent 00082,Bank Partner,North,2,1.23,290,94.01,Active,2022-10-17
AGT000083,Agent 00083,Corporate Agent,Central,6,10.15,434,86.96,Active,2020-06-14
AGT000084,Agent 00084,Bank Partner,North,5,4.23,109,79.61,Active,2019-07-29
AGT000085,Agent 00085,Digital Partner,East,7,11.6,205,90.23,Active,2022-12-25
AGT000086,Agent 00086,Bank Partner,North,11,2.81,453,75.47,Active,2016-08-18
AGT000087,Agent 00087,Broker,South,12,4.21,328,70.33,Active,2021-10-29
AGT000088,Agent 00088,Bank Partner,East,13,7.92,488,96.44,Active,2019-01-04
AGT000089,Agent 00089,Broker,South,3,2.58,191,79.54,Active,2020-03-31
AGT000090,Agent 00090,Digital Partner,West,6,5.59,477,78.85,Active,2025-07-13
AGT000091,Agent 00091,Broker,West,13,11.7,178,84.55,Active,2026-03-13
AGT000092,Agent 00092,Bank Partner,East,6,11.67,488,95.17,Active,2021-06-13
AGT000093,Agent 00093,Broker,Central,3,4.25,211,90.73,Active,2024-01-04
AGT000094,Agent 00094,Individual Agent,West,3,9.56,103,87.2,Active,2022-01-03
AGT000095,Agent 00095,Corporate Agent,West,2,10.96,455,89.12,Active,2026-05-31
AGT000096,Agent 00096,Digital Partner,South,4,7.44,182,93.11,Active,2021-07-26
AGT000097,Agent 00097,Individual Agent,North,12,2.39,134,97.5,Active,2022-01-02
AGT000098,Agent 00098,Digital Partner,East,5,8.29,251,73.43,Active,2015-03-02
AGT000099,Agent 00099,Individual Agent,East,1,11.69,239,85.5,Active,2025-12-02
AGT000100,Agent 00100,Individual Agent,South,5,3.69,143,86.65,Active,2018-05-09
AGT000101,Agent 00101,Broker,Central,14,2.47,333,85.25,Active,2024-06-04
AGT000102,Agent 00102,Individual Agent,North,3,4.55,429,77.5,Inactive,2022-08-19
AGT000103,Agent 00103,Bank Partner,South,3,11.01,76,81.49,Active,2018-01-23
AGT000104,Agent 00104,Bank Partner,East,10,2.13,398,81.43,Active,2021-07-13
AGT000105,Agent 00105,Broker,South,5,5.1,332,90.56,Active,2024-03-27
AGT000106,Agent 00106,Digital Partner,West,8,2.39,451,82.15,Active,2019-03-14
AGT000107,Agent 00107,Digital Partner,North,7,9.83,71,88.33,Active,2019-01-21
AGT000108,Agent 00108,Individual Agent,North,2,11.66,266,93.3,Active,2018-04-20
AGT000109,Agent 00109,Digital Partner,West,12,1.69,309,89.95,Active,2015-02-08
AGT000110,Agent 00110,Bank Partner,West,7,1.79,476,93.36,Active,2017-08-17
AGT000111,Agent 00111,Bank Partner,South,1,4.97,320,85.96,Active,2020-04-16
AGT000112,Agent 00112,Broker,West,1,7.66,383,95.52,Active,2022-06-20
AGT000113,Agent 00113,Broker,Central,11,11.23,435,88.01,Active,2015-10-08
AGT000114,Agent 00114,Individual Agent,South,4,2.45,281,73.47,Active,2025-12-24
AGT000115,Agent 00115,Digital Partner,Central,6,11.13,272,90.34,Active,2017-12-06
AGT000116,Agent 00116,Bank Partner,West,6,10.47,182,94.5,Active,2021-01-24
AGT000117,Agent 00117,Individual Agent,North,10,7.42,75,76.22,Active,2019-06-19
AGT000118,Agent 00118,Broker,Central,3,10.28,396,90.58,Active,2023-10-31
AGT000119,Agent 00119,Broker,East,5,1.5,467,73.33,Active,2020-05-05
AGT000120,Agent 00120,Corporate Agent,North,8,3.95,179,72.69,Active,2021-12-30
AGT000121,Agent 00121,Corporate Agent,West,14,5.66,451,84.74,Active,2025-01-07
AGT000122,Agent 00122,Bank Partner,South,8,4.54,118,70.59,Active,2019-05-01
AGT000123,Agent 00123,Individual Agent,West,4,1.12,368,80.48,Active,2022-02-28
AGT000124,Agent 00124,Bank Partner,South,14,8.15,420,90.41,Active,2016-06-21
AGT000125,Agent 00125,Digital Partner,East,8,7.87,236,80.63,Active,2021-06-25
AGT000126,Agent 00126,Individual Agent,East,15,7.44,408,75.47,Active,2026-06-01
AGT000127,Agent 00127,Individual Agent,Central,14,9.21,343,98.7,Active,2018-09-05
AGT000128,Agent 00128,Broker,West,8,5.4,405,94.3,Active,2016-05-17
AGT000129,Agent 00129,Digital Partner,East,10,11.66,248,71.35,Active,2023-03-17
AGT000130,Agent 00130,Broker,North,9,9.4,116,94.59,Active,2016-01-10
AGT000131,Agent 00131,Digital Partner,East,7,10.48,447,76.74,Active,2021-03-27
AGT000132,Agent 00132,Individual Agent,North,1,4.17,234,71.67,Active,2021-07-02
AGT000133,Agent 00133,Corporate Agent,Central,12,6.11,39,75.88,Active,2019-03-28
AGT000134,Agent 00134,Bank Partner,East,3,11.77,345,72.28,Active,2015-07-25
AGT000135,Agent 00135,Bank Partner,West,5,7.44,59,80.41,Active,2025-12-03
AGT000136,Agent 00136,Corporate Agent,West,15,7.98,238,85.88,Active,2024-04-06
AGT000137,Agent 00137,Corporate Agent,South,5,4.55,340,71.25,Inactive,2024-12-22
AGT000138,Agent 00138,Corporate Agent,South,2,10.41,361,76.12,Active,2019-09-23
AGT000139,Agent 00139,Broker,North,15,3.48,248,90.39,Active,2025-07-10
AGT000140,Agent 00140,Digital Partner,East,2,6.49,61,93.57,Active,2025-06-19
AGT000141,Agent 00141,Broker,East,2,10.23,424,74.17,Active,2023-05-06
AGT000142,Agent 00142,Individual Agent,West,8,2.08,356,98.13,Active,2021-07-25
AGT000143,Agent 00143,Broker,South,7,9.96,72,72.83,Active,2023-11-10
AGT000144,Agent 00144,Digital Partner,West,8,6.18,272,72.32,Active,2019-07-20
AGT000145,Agent 00145,Individual Agent,East,10,6.33,406,98.66,Active,2021-11-24
AGT000146,Agent 00146,Broker,West,9,6.53,330,76.85,Active,2016-09-13
AGT000147,Agent 00147,Corporate Agent,Central,13,5.73,146,79.55,Active,2024-06-12
AGT000148,Agent 00148,Digital Partner,West,7,3.27,250,95.46,Active,2021-05-22
AGT000149,Agent 00149,Bank Partner,South,6,9.41,153,71.73,Active,2015-08-03
AGT000150,Agent 00150,Broker,South,11,3.99,443,70.2,Active,2023-02-22
AGT000151,Agent 00151,Digital Partner,Central,12,6.48,451,96.17,Active,2025-04-11
AGT000152,Agent 00152,Corporate Agent,West,13,1.26,355,97.58,Active,2021-04-14
AGT000153,Agent 00153,Individual Agent,East,14,4.59,369,84.35,Active,2024-10-17
AGT000154,Agent 00154,Broker,East,7,3.56,412,92.34,Active,2024-07-03
AGT000155,Agent 00155,Broker,North,12,7.07,151,82.88,Active,2022-01-13
AGT000156,Agent 00156,Digital Partner,North,13,9.55,271,96.98,Active,2024-04-29
AGT000157,Agent 00157,Broker,Central,8,4.51,365,79.57,Active,2023-02-10
AGT000158,Agent 00158,Corporate Agent,South,7,10.55,329,90.8,Active,2016-06-19
AGT000159,Agent 00159,Bank Partner,East,3,7.26,31,73.82,Inactive,2023-06-11
AGT000160,Agent 00160,Digital Partner,Central,1,4.1,400,84.1,Active,2021-03-04
AGT000161,Agent 00161,Individual Agent,South,8,7.17,489,84.46,Active,2022-12-04
AGT000162,Agent 00162,Digital Partner,Central,6,9.72,76,79.22,Active,2018-01-01
AGT000163,Agent 00163,Digital Partner,North,14,11.0,336,96.7,Active,2022-07-18
AGT000164,Agent 00164,Digital Partner,West,7,5.16,322,93.83,Active,2023-02-14
AGT000165,Agent 00165,Corporate Agent,Central,6,11.88,399,81.49,Active,2023-01-03
AGT000166,Agent 00166,Corporate Agent,Central,5,3.24,262,78.66,Inactive,2021-07-22
AGT000167,Agent 00167,Corporate Agent,South,1,8.52,136,81.48,Inactive,2025-12-30
AGT000168,Agent 00168,Broker,North,10,11.15,55,80.59,Active,2025-11-08
AGT000169,Agent 00169,Digital Partner,West,5,11.68,484,81.27,Inactive,2024-12-24
AGT000170,Agent 00170,Bank Partner,Central,12,6.86,274,82.34,Active,2020-10-14
AGT000171,Agent 00171,Digital Partner,South,2,1.33,67,77.21,Active,2017-11-26
AGT000172,Agent 00172,Individual Agent,South,3,4.89,41,85.82,Active,2017-07-06
AGT000173,Agent 00173,Bank Partner,Central,8,7.28,112,97.82,Active,2023-10-03
AGT000174,Agent 00174,Digital Partner,West,7,5.47,81,92.15,Inactive,2026-05-28
AGT000175,Agent 00175,Broker,North,1,5.72,368,90.11,Active,2017-05-26
AGT000176,Agent 00176,Digital Partner,Central,8,5.61,127,93.45,Active,2024-01-14
AGT000177,Agent 00177,Broker,East,6,6.89,108,95.96,Active,2025-03-30
AGT000178,Agent 00178,Digital Partner,East,4,8.45,73,84.54,Active,2025-01-05
AGT000179,Agent 00179,Bank Partner,Central,11,9.67,468,83.56,Active,2017-08-05
AGT000180,Agent 00180,Bank Partner,Central,1,1.95,62,95.89,Active,2016-10-15
AGT000181,Agent 00181,Individual Agent,Central,10,8.59,499,78.99,Active,2020-08-23
AGT000182,Agent 00182,Bank Partner,North,5,5.93,316,91.01,Inactive,2023-04-29
AGT000183,Agent 00183,Digital Partner,North,4,9.02,205,89.59,Active,2019-04-13
AGT000184,Agent 00184,Individual Agent,South,9,4.26,220,94.25,Active,2016-11-13
AGT000185,Agent 00185,Broker,Central,8,3.17,116,88.24,Active,2019-10-21
AGT000186,Agent 00186,Broker,East,4,3.4,324,91.35,Active,2015-06-04
AGT000187,Agent 00187,Corporate Agent,East,14,7.04,370,97.79,Active,2022-02-20
AGT000188,Agent 00188,Broker,South,11,8.53,285,91.23,Active,2019-06-01
AGT000189,Agent 00189,Individual Agent,North,12,2.92,130,88.62,Active,2024-12-05
AGT000190,Agent 00190,Bank Partner,North,8,3.67,203,75.09,Active,2021-06-21
AGT000191,Agent 00191,Corporate Agent,Central,12,3.86,468,95.67,Active,2026-05-10
AGT000192,Agent 00192,Digital Partner,Central,10,4.97,72,98.9,Active,2024-09-01
AGT000193,Agent 00193,Broker,West,13,2.01,422,89.73,Active,2021-09-13
AGT000194,Agent 00194,Bank Partner,South,13,11.84,164,98.34,Active,2018-03-24
AGT000195,Agent 00195,Corporate Agent,West,8,2.0,428,91.88,Active,2017-07-19
AGT000196,Agent 00196,Broker,West,13,7.61,416,93.7,Active,2018-07-21
AGT000197,Agent 00197,Broker,West,5,6.24,458,96.27,Active,2025-05-12
AGT000198,Agent 00198,Broker,North,8,9.0,337,72.33,Active,2019-04-14
AGT000199,Agent 00199,Broker,West,11,2.6,251,92.52,Active,2019-04-21
AGT000200,Agent 00200,Corporate Agent,East,12,8.74,489,93.75,Active,2021-11-29
AGT000201,Agent 00201,Bank Partner,South,4,7.71,351,75.41,Active,2018-06-10
AGT000202,Agent 00202,Digital Partner,West,9,3.93,401,92.73,Active,2022-03-09
AGT000203,Agent 00203,Bank Partner,Central,7,6.83,292,86.81,Active,2022-08-31
AGT000204,Agent 00204,Broker,South,11,7.94,160,97.44,Inactive,2015-01-01
AGT000205,Agent 00205,Corporate Agent,South,5,1.96,34,77.05,Inactive,2017-09-08
AGT000206,Agent 00206,Digital Partner,South,2,4.1,372,81.77,Inactive,2018-08-22
AGT000207,Agent 00207,Broker,Central,9,2.2,208,98.61,Active,2019-03-19
AGT000208,Agent 00208,Digital Partner,North,11,2.16,139,71.7,Active,2022-03-29
AGT000209,Agent 00209,Broker,West,15,8.33,430,83.44,Active,2023-01-25
AGT000210,Agent 00210,Bank Partner,East,4,7.52,213,84.22,Active,2017-09-30
AGT000211,Agent 00211,Corporate Agent,East,5,6.69,234,87.3,Active,2018-08-29
AGT000212,Agent 00212,Broker,North,9,10.47,56,87.93,Active,2023-06-30
AGT000213,Agent 00213,Broker,Central,8,5.56,293,74.98,Inactive,2017-02-02
AGT000214,Agent 00214,Digital Partner,South,3,5.06,96,81.5,Active,2025-12-01
AGT000215,Agent 00215,Individual Agent,South,11,7.11,422,72.55,Active,2017-04-15
AGT000216,Agent 00216,Corporate Agent,North,2,7.39,460,88.54,Active,2019-10-14
AGT000217,Agent 00217,Digital Partner,Central,9,2.5,465,94.3,Active,2015-12-22
AGT000218,Agent 00218,Broker,East,13,3.68,209,88.52,Active,2022-05-06
AGT000219,Agent 00219,Individual Agent,North,2,4.5,491,70.45,Active,2022-04-18
AGT000220,Agent 00220,Corporate Agent,South,13,9.69,246,79.8,Active,2016-11-13
AGT000221,Agent 00221,Individual Agent,Central,6,11.62,374,88.48,Inactive,2019-05-28
AGT000222,Agent 00222,Digital Partner,North,8,7.06,432,96.76,Active,2025-09-11
AGT000223,Agent 00223,Broker,East,5,2.08,445,74.79,Active,2025-02-18
AGT000224,Agent 00224,Bank Partner,West,13,6.59,334,76.48,Active,2015-04-16
AGT000225,Agent 00225,Corporate Agent,East,5,9.91,423,86.25,Active,2023-10-30
AGT000226,Agent 00226,Broker,North,3,3.79,88,85.83,Active,2019-03-02
AGT000227,Agent 00227,Corporate Agent,South,1,7.93,471,86.13,Active,2022-08-14
AGT000228,Agent 00228,Corporate Agent,West,9,6.63,296,76.05,Active,2022-05-20
AGT000229,Agent 00229,Corporate Agent,South,14,7.21,391,82.36,Active,2023-10-25
AGT000230,Agent 00230,Digital Partner,East,11,11.0,72,72.29,Active,2016-06-16
AGT000231,Agent 00231,Individual Agent,West,2,6.06,123,90.03,Active,2020-08-15
AGT000232,Agent 00232,Broker,West,10,8.57,44,94.67,Active,2022-05-17
AGT000233,Agent 00233,Broker,East,6,8.41,198,81.5,Active,2024-03-30
AGT000234,Agent 00234,Broker,West,14,2.73,165,96.66,Active,2016-07-30
AGT000235,Agent 00235,Digital Partner,West,8,4.65,91,89.73,Inactive,2023-12-01
AGT000236,Agent 00236,Digital Partner,West,11,7.71,418,74.85,Active,2025-02-25
AGT000237,Agent 00237,Digital Partner,East,8,1.84,139,73.96,Active,2020-12-19
AGT000238,Agent 00238,Broker,Central,15,11.27,442,91.16,Active,2021-02-13
AGT000239,Agent 00239,Bank Partner,North,8,6.76,374,78.13,Active,2020-05-16
AGT000240,Agent 00240,Corporate Agent,North,12,6.21,307,97.23,Active,2018-03-10
AGT000241,Agent 00241,Bank Partner,Central,2,2.8,440,79.46,Active,2018-07-24
AGT000242,Agent 00242,Individual Agent,West,3,11.96,345,79.3,Inactive,2025-04-25
AGT000243,Agent 00243,Bank Partner,Central,3,7.05,60,72.37,Active,2023-04-09
AGT000244,Agent 00244,Broker,West,15,1.88,179,82.0,Active,2024-09-15
AGT000245,Agent 00245,Digital Partner,West,2,10.66,117,80.09,Active,2025-11-17
AGT000246,Agent 00246,Bank Partner,East,11,8.73,395,70.99,Active,2020-03-09
AGT000247,Agent 00247,Corporate Agent,South,10,9.98,449,87.73,Active,2026-06-07
AGT000248,Agent 00248,Individual Agent,East,1,3.18,456,83.36,Active,2025-03-06
AGT000249,Agent 00249,Corporate Agent,Central,5,2.65,55,85.32,Inactive,2020-11-03
AGT000250,Agent 00250,Individual Agent,North,13,5.79,487,90.51,Active,2020-07-02
AGT000251,Agent 00251,Digital Partner,East,4,3.21,150,97.4,Active,2022-06-18
AGT000252,Agent 00252,Individual Agent,East,12,5.92,355,72.79,Active,2017-05-19
AGT000253,Agent 00253,Broker,Central,14,9.07,285,92.3,Active,2021-08-18
AGT000254,Agent 00254,Corporate Agent,West,7,6.57,245,77.12,Active,2016-07-07
AGT000255,Agent 00255,Digital Partner,North,2,11.75,454,73.2,Active,2025-06-27
AGT000256,Agent 00256,Broker,East,15,8.26,239,93.09,Active,2022-03-24
AGT000257,Agent 00257,Corporate Agent,Central,13,10.91,74,83.38,Active,2022-06-08
AGT000258,Agent 00258,Bank Partner,South,3,6.18,110,90.37,Active,2022-12-05
AGT000259,Agent 00259,Bank Partner,North,1,6.05,285,94.83,Active,2020-11-08
AGT000260,Agent 00260,Broker,East,10,4.75,135,79.95,Active,2017-10-19
AGT000261,Agent 00261,Bank Partner,West,5,8.97,131,92.42,Active,2019-01-17
AGT000262,Agent 00262,Corporate Agent,Central,9,11.9,151,86.65,Inactive,2020-12-11
AGT000263,Agent 00263,Individual Agent,South,3,3.64,58,84.69,Active,2020-10-23
AGT000264,Agent 00264,Bank Partner,East,2,2.12,93,82.41,Active,2020-07-07
AGT000265,Agent 00265,Broker,North,7,6.5,225,93.44,Active,2023-03-31
AGT000266,Agent 00266,Individual Agent,Central,9,9.78,302,98.08,Active,2026-06-04
AGT000267,Agent 00267,Broker,West,5,1.98,487,70.86,Active,2024-06-27
AGT000268,Agent 00268,Corporate Agent,Central,7,11.64,34,95.34,Active,2017-03-12
AGT000269,Agent 00269,Digital Partner,Central,4,4.94,298,96.68,Active,2022-06-24
AGT000270,Agent 00270,Corporate Agent,Central,4,6.38,449,71.41,Inactive,2020-12-07
AGT000271,Agent 00271,Corporate Agent,North,8,10.82,373,76.37,Active,2018-09-23
AGT000272,Agent 00272,Bank Partner,East,8,7.39,83,98.14,Active,2018-11-04
AGT000273,Agent 00273,Corporate Agent,West,12,9.23,37,75.37,Active,2017-10-20
AGT000274,Agent 00274,Bank Partner,South,15,9.67,308,96.27,Active,2020-08-22
AGT000275,Agent 00275,Broker,East,13,9.44,132,78.21,Active,2015-03-03
AGT000276,Agent 00276,Bank Partner,West,11,7.24,257,75.52,Active,2019-01-14
AGT000277,Agent 00277,Bank Partner,North,12,3.1,353,72.64,Active,2015-06-12
AGT000278,Agent 00278,Broker,East,10,5.96,355,78.28,Active,2015-11-28
AGT000279,Agent 00279,Digital Partner,Central,6,11.71,452,73.16,Active,2020-01-24
AGT000280,Agent 00280,Individual Agent,West,1,7.35,317,77.54,Active,2021-02-16
AGT000281,Agent 00281,Corporate Agent,South,13,10.41,170,80.49,Active,2023-09-30
AGT000282,Agent 00282,Bank Partner,East,9,3.23,73,93.66,Active,2025-11-30
AGT000283,Agent 00283,Corporate Agent,West,3,5.64,482,86.55,Active,2022-02-05
AGT000284,Agent 00284,Bank Partner,North,12,4.76,39,76.36,Active,2025-01-12
AGT000285,Agent 00285,Bank Partner,North,9,1.01,246,77.41,Active,2020-10-15
AGT000286,Agent 00286,Individual Agent,North,4,4.27,114,80.91,Active,2019-08-26
AGT000287,Agent 00287,Bank Partner,East,4,1.97,425,95.9,Active,2021-10-09
AGT000288,Agent 00288,Digital Partner,South,6,4.71,476,91.92,Active,2019-12-26
AGT000289,Agent 00289,Corporate Agent,West,15,6.56,330,95.34,Active,2022-08-16
AGT000290,Agent 00290,Individual Agent,Central,9,9.09,349,97.22,Active,2024-10-05
AGT000291,Agent 00291,Corporate Agent,East,14,1.73,151,71.48,Active,2024-02-08
AGT000292,Agent 00292,Bank Partner,South,13,9.48,233,93.69,Active,2018-08-14
AGT000293,Agent 00293,Broker,South,4,6.11,350,93.65,Inactive,2021-11-06
AGT000294,Agent 00294,Individual Agent,North,10,11.11,453,79.47,Active,2020-08-27
AGT000295,Agent 00295,Bank Partner,Central,10,10.17,305,80.37,Active,2025-08-07
AGT000296,Agent 00296,Broker,West,15,8.57,218,82.79,Active,2024-01-27
AGT000297,Agent 00297,Broker,Central,10,2.84,470,83.78,Active,2015-03-02
AGT000298,Agent 00298,Corporate Agent,Central,6,9.33,195,79.64,Active,2022-08-19
AGT000299,Agent 00299,Corporate Agent,Central,8,7.92,213,81.35,Active,2020-10-19
AGT000300,Agent 00300,Individual Agent,South,10,1.66,463,90.0,Active,2026-06-14
AGT000301,Agent 00301,Individual Agent,North,2,4.64,321,79.82,Active,2019-04-26
AGT000302,Agent 00302,Broker,North,15,5.28,227,96.74,Active,2019-01-27
AGT000303,Agent 00303,Digital Partner,West,12,3.89,235,75.79,Active,2015-08-18
AGT000304,Agent 00304,Individual Agent,South,9,4.76,305,92.6,Active,2020-04-02
AGT000305,Agent 00305,Digital Partner,West,7,7.35,424,81.22,Active,2016-08-13
AGT000306,Agent 00306,Bank Partner,West,7,1.55,411,90.72,Active,2017-05-15
AGT000307,Agent 00307,Digital Partner,Central,9,12.0,259,96.34,Active,2026-04-16
AGT000308,Agent 00308,Corporate Agent,East,5,1.23,351,92.29,Active,2025-05-06
AGT000309,Agent 00309,Digital Partner,West,15,5.71,487,92.59,Active,2022-03-02
AGT000310,Agent 00310,Corporate Agent,Central,6,5.61,354,88.55,Inactive,2017-05-27
AGT000311,Agent 00311,Individual Agent,East,10,11.07,483,92.31,Active,2020-02-18
AGT000312,Agent 00312,Broker,North,5,11.54,149,77.86,Active,2016-03-16
AGT000313,Agent 00313,Bank Partner,South,2,4.04,470,85.29,Inactive,2016-03-08
AGT000314,Agent 00314,Broker,West,14,6.84,383,78.01,Active,2023-10-15
