POLICY_ID,CUSTOMER_ID,POLICY_TYPE,SALES_CHANNEL,AGENT_ID,POLICY_START_DATE,POLICY_END_DATE,SUM_INSURED,ANNUAL_PREMIUM,PAYMENT_MODE,RISK_SCORE,RISK_BAND,POLICY_STATUS,DISCOUNT_PCT,COMMISSION_PCT
POL000000022,CUST00011551,Health,Online,AGT000705,2019-02-21,2029-02-18,2932354,15911,Monthly,440,Low,Active,12.71,1.55
POL000000023,CUST00063671,Commercial,Bancassurance,AGT001280,2025-03-08,2026-03-08,6251116,32294,Quarterly,435,Low,Active,6.74,0.47
POL000000024,CUST00029139,Health,Bancassurance,AGT004590,2019-10-01,2020-09-30,374172,15135,Monthly,442,Low,Active,9.64,0.54
POL000000025,CUST00038083,Motor,Direct,AGT001639,2021-11-16,2022-11-16,300755,10363,Annual,420,Low,Active,16.67,0.41
POL000000026,CUST00081903,Term Life,Corporate Partner,AGT002498,2023-03-26,2024-03-25,9629514,11668,Monthly,485,Medium,Active,13.08,0.35
POL000000027,CUST00081828,Home,Broker,AGT004232,2025-02-04,2026-02-04,4008585,14557,Monthly,408,Low,Active,11.17,1.76
POL000000028,CUST00064459,Whole Life,Agent,AGT003491,2019-02-22,2039-02-17,4271888,30317,Annual,339,Low,Expired,13.98,3.01
POL000000029,CUST00050013,Travel,Bancassurance,AGT001957,2022-06-18,2042-06-13,151071,2733,Annual,352,Low,Active,4.04,4.37
POL000000030,CUST00053632,Personal Accident,Agent,AGT004799,2022-03-19,2027-03-18,1254321,4811,Annual,486,Medium,Active,7.54,0.15
POL000000031,CUST00085774,Health,Agent,AGT003203,2020-09-09,2030-09-07,479747,17043,Monthly,455,Low,Active,4.83,4.1
POL000000032,CUST00085887,Motor,Agent,AGT002240,2024-01-03,2025-01-02,808536,8675,Monthly,384,Low,Active,18.58,2.17
POL000000033,CUST00062066,Health,Direct,AGT000711,2024-05-07,2025-05-07,530889,14107,Annual,441,Low,Expired,8.33,1.67
POL000000034,CUST00009744,Term Life,Broker,AGT000806,2025-03-20,2026-03-20,8572953,11876,Annual,350,Low,Active,12.71,3.57
POL000000035,CUST00080637,Health,Agent,AGT003225,2021-06-14,2022-06-14,950098,14182,Annual,369,Low,Active,0.54,1.06
POL000000036,CUST00095374,Term Life,Bancassurance,AGT001254,2022-09-12,2032-09-09,5042912,22509,Annual,348,Low,Active,2.5,4.33
POL000000037,CUST00082172,Health,Corporate Partner,AGT003640,2019-12-17,2020-12-16,820004,19185,Annual,444,Low,Active,14.53,0.17
POL000000038,CUST00052715,Health,Bancassurance,AGT000483,2022-05-11,2023-05-11,422290,19378,Monthly,535,Medium,Active,19.37,3.94
POL000000039,CUST00010142,Travel,Bancassurance,AGT003558,2024-03-04,2029-03-03,324595,5846,Monthly,364,Low,Active,3.02,3.37
POL000000040,CUST00054022,Motor,Online,AGT002780,2026-05-30,2036-05-27,215490,33309,Quarterly,492,Medium,Expired,13.15,4.3
POL000000041,CUST00041169,Home,Agent,AGT004338,2019-04-18,2020-04-17,3505951,24716,Annual,376,Low,Lapsed,15.27,3.98
POL000000042,CUST00063002,Home,Direct,AGT001837,2022-09-12,2023-09-12,3338430,15589,Annual,374,Low,Active,17.84,1.64
POL000000043,CUST00082058,Motor,Direct,AGT001864,2026-04-07,2027-04-07,222765,12993,Monthly,435,Low,Active,7.68,4.82
POL000000044,CUST00065106,Home,Agent,AGT001871,2025-06-20,2026-06-20,3229742,10985,Annual,351,Low,Lapsed,4.24,0.53
POL000000045,CUST00021780,Health,Broker,AGT002629,2021-12-09,2022-12-09,571663,15596,Half-Yearly,395,Low,Active,16.07,1.72
POL000000046,CUST00030231,Personal Accident,Online,AGT001711,2021-12-23,2022-12-23,475165,5580,Monthly,382,Low,Lapsed,11.38,0.51
POL000000047,CUST00006653,Term Life,Online,AGT001222,2024-07-04,2034-07-02,3935072,12802,Annual,512,Medium,Active,18.66,3.15
POL000000048,CUST00043260,Home,Broker,AGT001006,2021-11-29,2041-11-24,1941690,8583,Annual,385,Low,Active,19.71,3.66
POL000000049,CUST00068903,Health,Bancassurance,AGT001129,2020-11-03,2021-11-03,1271343,27682,Annual,284,Low,Active,7.48,4.36
POL000000050,CUST00090781,Health,Online,AGT002682,2020-01-12,2030-01-09,1005286,17328,Monthly,427,Low,Active,12.34,2.46
POL000000051,CUST00001341,Term Life,Direct,AGT001157,2021-06-05,2022-06-05,6470030,22900,Annual,485,Medium,Active,13.67,0.49
POL000000052,CUST00086945,Personal Accident,Broker,AGT002011,2025-10-20,2026-10-20,808749,4390,Annual,478,Low,Expired,13.79,4.4
POL000000053,CUST00089025,Health,Bancassurance,AGT004725,2024-05-15,2034-05-13,762658,12999,Annual,328,Low,Active,17.13,1.25
POL000000054,CUST00000737,Travel,Online,AGT004859,2024-06-14,2029-06-13,355102,5881,Monthly,398,Low,Expired,3.28,2.95
POL000000055,CUST00044166,Motor,Agent,AGT002205,2026-03-18,2027-03-18,957866,8946,Monthly,407,Low,Active,11.04,0.29
POL000000056,CUST00047697,Personal Accident,Broker,AGT001966,2026-01-15,2027-01-15,1528565,5127,Annual,392,Low,Expired,16.41,2.96
POL000000057,CUST00022002,Motor,Agent,AGT001522,2022-04-11,2042-04-06,210121,17951,Quarterly,323,Low,Active,1.81,1.86
POL000000058,CUST00021856,Home,Online,AGT000006,2020-07-14,2021-07-14,1747511,10265,Quarterly,435,Low,Active,17.67,2.06
POL000000059,CUST00048258,Motor,Online,AGT000301,2023-07-25,2024-07-24,826474,19322,Annual,451,Low,Active,6.98,1.06
POL000000060,CUST00080561,Whole Life,Broker,AGT002781,2020-11-12,2040-11-07,1901784,43126,Annual,435,Low,Active,0.55,4.5
POL000000061,CUST00045923,Commercial,Bancassurance,AGT003662,2020-06-26,2021-06-26,4905371,65971,Annual,360,Low,Expired,4.49,1.56
POL000000062,CUST00062223,Home,Corporate Partner,AGT000111,2021-06-24,2022-06-24,3047826,10023,Half-Yearly,369,Low,Active,1.28,3.74
POL000000063,CUST00050836,Travel,Direct,AGT001592,2026-08-02,2027-08-02,334315,3858,Annual,332,Low,Active,19.26,3.65
POL000000064,CUST00026266,Commercial,Online,AGT000667,2023-07-06,2024-07-05,3265863,39161,Annual,378,Low,Lapsed,17.15,2.26
POL000000065,CUST00074767,Health,Direct,AGT001889,2024-08-27,2025-08-27,785962,16138,Half-Yearly,405,Low,Active,1.6,2.89
POL000000066,CUST00043592,Health,Agent,AGT002233,2019-08-03,2020-08-02,554999,14384,Annual,437,Low,Lapsed,0.03,3.96
POL000000067,CUST00024295,Health,Bancassurance,AGT004354,2019-01-23,2020-01-23,587699,13507,Annual,320,Low,Active,8.72,4.32
POL000000068,CUST00033668,Motor,Bancassurance,AGT003445,2024-06-07,2025-06-07,1136176,13231,Annual,414,Low,Active,15.47,0.18
POL000000069,CUST00043555,Home,Online,AGT004994,2024-05-10,2034-05-08,2378851,13807,Monthly,369,Low,Active,7.54,2.62
POL000000070,CUST00015444,Motor,Corporate Partner,AGT002211,2020-07-15,2021-07-15,848208,10201,Monthly,360,Low,Expired,18.87,1.63
POL000000071,CUST00088904,Commercial,Broker,AGT000453,2025-11-30,2026-11-30,5282548,31035,Monthly,319,Low,Active,6.84,0.63
POL000000072,CUST00089006,Motor,Online,AGT003778,2023-04-18,2024-04-17,673888,18739,Annual,474,Low,Expired,4.68,4.39
POL000000073,CUST00000950,Personal Accident,Corporate Partner,AGT001148,2019-04-20,2020-04-19,696041,3338,Annual,421,Low,Active,9.26,3.12
POL000000074,CUST00092762,Motor,Bancassurance,AGT000012,2022-10-20,2023-10-20,854079,7959,Annual,432,Low,Cancelled,0.73,2.64
POL000000075,CUST00085305,Home,Online,AGT002454,2024-04-14,2029-04-13,2539556,4993,Monthly,432,Low,Cancelled,12.11,3.57
POL000000076,CUST00041795,Health,Direct,AGT002522,2025-08-16,2026-08-16,1724425,27580,Half-Yearly,404,Low,Active,5.15,5.0
POL000000077,CUST00092517,Motor,Corporate Partner,AGT003086,2020-08-29,2021-08-29,1242016,20081,Annual,408,Low,Expired,10.6,4.39
POL000000078,CUST00058814,Commercial,Bancassurance,AGT002414,2019-10-04,2024-10-02,3460232,41186,Monthly,387,Low,Active,15.5,1.67
POL000000079,CUST00023496,Motor,Agent,AGT004320,2021-04-16,2031-04-14,300792,16054,Quarterly,321,Low,Active,19.45,1.78
POL000000080,CUST00065972,Home,Bancassurance,AGT003033,2020-01-23,2021-01-22,2973540,6074,Quarterly,334,Low,Active,3.39,1.14
POL000000081,CUST00076407,Commercial,Corporate Partner,AGT000661,2024-01-25,2025-01-24,5990129,44800,Quarterly,409,Low,Active,6.83,0.11
POL000000082,CUST00056804,Health,Bancassurance,AGT001002,2025-02-15,2026-02-15,586132,21549,Half-Yearly,456,Low,Cancelled,11.85,2.96
POL000000083,CUST00086722,Motor,Broker,AGT000863,2023-12-08,2024-12-07,647358,14369,Annual,460,Low,Expired,18.42,2.64
POL000000084,CUST00049079,Motor,Online,AGT004243,2021-05-20,2022-05-20,623029,12328,Monthly,421,Low,Active,18.04,1.27
POL000000085,CUST00078665,Personal Accident,Broker,AGT001180,2022-05-21,2023-05-21,1536812,6370,Quarterly,487,Medium,Active,15.85,4.98
POL000000086,CUST00091419,Personal Accident,Agent,AGT001343,2023-12-22,2043-12-17,2251413,4936,Annual,351,Low,Active,19.62,4.57
POL000000087,CUST00020280,Travel,Online,AGT001891,2019-12-07,2020-12-06,283029,3150,Annual,374,Low,Active,3.7,4.08
POL000000088,CUST00075946,Motor,Online,AGT001752,2021-03-26,2022-03-26,933968,19122,Annual,342,Low,Lapsed,8.09,4.08
POL000000089,CUST00012999,Term Life,Corporate Partner,AGT002968,2023-03-15,2028-03-13,4874177,15068,Monthly,351,Low,Active,6.19,1.23
POL000000090,CUST00023528,Health,Direct,AGT001972,2020-12-21,2030-12-19,919695,13158,Monthly,370,Low,Expired,14.9,4.42
POL000000091,CUST00054912,Health,Agent,AGT000108,2025-05-16,2030-05-15,963932,21886,Quarterly,403,Low,Active,6.12,1.98
POL000000092,CUST00048222,Personal Accident,Corporate Partner,AGT001275,2024-08-03,2025-08-03,1207682,3675,Monthly,301,Low,Active,18.34,3.21
POL000000093,CUST00063228,Health,Corporate Partner,AGT001285,2021-12-09,2022-12-09,1369434,12489,Half-Yearly,343,Low,Active,9.66,0.11
POL000000094,CUST00024909,Commercial,Corporate Partner,AGT002041,2021-04-14,2022-04-14,9189361,83093,Monthly,349,Low,Expired,14.79,3.39
POL000000095,CUST00026887,Health,Bancassurance,AGT001420,2025-08-05,2026-08-05,552809,18093,Monthly,386,Low,Active,11.85,0.08
POL000000096,CUST00099824,Travel,Agent,AGT000753,2020-08-26,2021-08-26,346666,5377,Annual,472,Low,Active,9.09,2.0
POL000000097,CUST00085588,Health,Broker,AGT003016,2023-02-19,2024-02-19,1088371,20072,Quarterly,523,Medium,Active,12.71,4.82
POL000000098,CUST00046987,Health,Corporate Partner,AGT004125,2024-11-22,2034-11-20,801132,16559,Monthly,325,Low,Expired,0.65,0.38
POL000000099,CUST00018557,Home,Bancassurance,AGT003760,2020-10-09,2021-10-09,5156436,11399,Annual,376,Low,Lapsed,19.56,1.86
POL000000100,CUST00064742,Term Life,Online,AGT004554,2019-07-10,2020-07-09,6195191,8843,Annual,317,Low,Active,13.03,2.09
POL000000101,CUST00003232,Health,Direct,AGT002858,2020-01-31,2021-01-30,1937480,12725,Monthly,340,Low,Active,1.22,4.8
POL000000102,CUST00086598,Health,Agent,AGT002465,2020-12-11,2025-12-10,1570736,13944,Monthly,463,Low,Active,2.62,3.56
POL000000103,CUST00063765,Motor,Agent,AGT001102,2026-05-16,2046-05-11,1012062,13518,Annual,415,Low,Active,17.63,2.57
POL000000104,CUST00027642,Health,Corporate Partner,AGT001518,2021-03-19,2041-03-14,814177,14744,Monthly,419,Low,Active,13.59,1.14
POL000000105,CUST00097730,Personal Accident,Broker,AGT001910,2024-04-22,2025-04-22,845245,6804,Quarterly,405,Low,Active,3.64,3.83
POL000000106,CUST00027614,Term Life,Bancassurance,AGT000847,2022-03-10,2027-03-09,4143859,19250,Annual,380,Low,Active,0.5,1.12
POL000000107,CUST00064863,Motor,Corporate Partner,AGT002997,2025-07-30,2026-07-30,395400,12542,Annual,520,Medium,Active,9.45,0.58
POL000000108,CUST00051779,Term Life,Agent,AGT002695,2021-05-10,2022-05-10,4934761,14962,Monthly,437,Low,Active,19.69,1.58
POL000000109,CUST00091667,Term Life,Direct,AGT002701,2021-10-19,2022-10-19,10540532,16874,Quarterly,432,Low,Cancelled,18.78,4.93
POL000000110,CUST00030100,Commercial,Corporate Partner,AGT000212,2022-12-31,2027-12-30,12901637,59915,Annual,310,Low,Active,17.8,0.29
POL000000111,CUST00076219,Personal Accident,Online,AGT004305,2021-03-04,2022-03-04,1143209,4085,Quarterly,425,Low,Active,6.49,2.74
POL000000112,CUST00087918,Health,Online,AGT002956,2021-05-20,2022-05-20,438155,17409,Monthly,421,Low,Active,3.3,1.53
POL000000113,CUST00050747,Health,Corporate Partner,AGT001880,2021-07-11,2041-07-06,268692,11716,Quarterly,398,Low,Active,18.33,3.74
POL000000114,CUST00014446,Health,Bancassurance,AGT003606,2021-04-01,2022-04-01,644968,17336,Annual,296,Low,Active,16.41,1.25
POL000000115,CUST00042845,Motor,Bancassurance,AGT001712,2024-07-01,2025-07-01,1229710,12178,Quarterly,471,Low,Active,6.78,1.04
POL000000116,CUST00039229,Health,Online,AGT000434,2021-11-28,2026-11-27,1257408,28903,Half-Yearly,460,Low,Cancelled,2.45,4.93
POL000000117,CUST00013076,Commercial,Broker,AGT000588,2024-01-08,2025-01-07,7132396,35541,Annual,295,Low,Expired,10.72,3.73
POL000000118,CUST00047268,Health,Broker,AGT004442,2020-10-18,2021-10-18,771714,29342,Annual,555,Medium,Active,7.75,3.49
POL000000119,CUST00005781,Motor,Corporate Partner,AGT004364,2020-01-11,2021-01-10,808681,14051,Monthly,411,Low,Active,16.77,0.84
POL000000120,CUST00014022,Motor,Corporate Partner,AGT003947,2025-06-23,2026-06-23,381129,22320,Monthly,399,Low,Active,15.46,1.95
POL000000121,CUST00070787,Health,Online,AGT003095,2023-10-14,2024-10-13,874607,27810,Monthly,484,Medium,Active,12.44,0.19
POL000000122,CUST00007922,Commercial,Bancassurance,AGT001399,2024-04-05,2025-04-05,3507830,51138,Annual,537,Medium,Cancelled,0.01,2.69
POL000000123,CUST00048011,Health,Direct,AGT002822,2020-12-27,2030-12-25,529441,24005,Monthly,399,Low,Active,7.58,1.05
POL000000124,CUST00019709,Health,Online,AGT003182,2022-09-14,2042-09-09,757281,26302,Annual,368,Low,Active,15.04,2.11
POL000000125,CUST00043739,Motor,Bancassurance,AGT001024,2024-10-29,2025-10-29,1478623,11944,Monthly,376,Low,Expired,10.86,4.76
POL000000126,CUST00065091,Travel,Corporate Partner,AGT002959,2021-07-11,2026-07-10,338579,3369,Annual,373,Low,Active,11.88,4.15
POL000000127,CUST00090172,Motor,Direct,AGT002003,2019-01-10,2020-01-10,576375,16891,Annual,377,Low,Expired,6.09,3.21
POL000000128,CUST00031369,Home,Agent,AGT002058,2024-11-01,2025-11-01,5800875,7226,Annual,292,Low,Active,15.06,0.59
POL000000129,CUST00096915,Personal Accident,Direct,AGT000288,2021-12-22,2022-12-22,896945,8044,Annual,446,Low,Active,15.49,2.22
POL000000130,CUST00072196,Term Life,Direct,AGT004536,2022-09-20,2023-09-20,4239963,29283,Annual,504,Medium,Lapsed,11.84,3.57
POL000000131,CUST00050392,Commercial,Broker,AGT001090,2019-02-02,2020-02-02,5988417,40894,Annual,368,Low,Active,5.41,2.35
POL000000132,CUST00064575,Motor,Corporate Partner,AGT004000,2021-08-31,2022-08-31,269937,10971,Monthly,470,Low,Expired,11.26,1.56
POL000000133,CUST00021632,Commercial,Online,AGT002257,2025-08-13,2026-08-13,2773639,91661,Monthly,456,Low,Active,12.4,3.01
POL000000134,CUST00027325,Health,Broker,AGT003663,2025-12-18,2026-12-18,535186,18281,Annual,406,Low,Expired,2.35,4.33
POL000000135,CUST00018349,Term Life,Online,AGT004242,2020-07-29,2021-07-29,7167630,18713,Monthly,308,Low,Lapsed,14.29,1.5
POL000000136,CUST00080742,Motor,Broker,AGT004675,2025-10-02,2026-10-02,816421,8772,Annual,425,Low,Active,5.62,0.91
POL000000137,CUST00077854,Health,Bancassurance,AGT004616,2024-05-08,2025-05-08,1370996,11268,Annual,490,Medium,Active,4.16,2.71
POL000000138,CUST00018152,Term Life,Agent,AGT002105,2025-01-25,2026-01-25,4327423,15853,Monthly,467,Low,Active,17.28,4.69
POL000000139,CUST00073754,Health,Agent,AGT001176,2020-10-04,2021-10-04,489657,37673,Quarterly,396,Low,Active,12.0,1.47
POL000000140,CUST00018767,Whole Life,Direct,AGT000629,2025-09-09,2026-09-09,1409616,51487,Annual,416,Low,Active,7.23,0.0
POL000000141,CUST00035662,Personal Accident,Bancassurance,AGT003884,2019-08-28,2020-08-27,1285471,5258,Annual,320,Low,Active,7.84,1.78
POL000000142,CUST00044361,Commercial,Bancassurance,AGT000382,2019-11-27,2020-11-26,8439508,74891,Monthly,518,Medium,Active,16.96,3.05
POL000000143,CUST00080143,Personal Accident,Corporate Partner,AGT000259,2025-12-20,2026-12-20,2493501,8073,Monthly,476,Low,Cancelled,17.93,0.31
POL000000144,CUST00008325,Health,Bancassurance,AGT004814,2020-05-30,2021-05-30,534757,25602,Annual,409,Low,Lapsed,17.67,3.39
POL000000145,CUST00097294,Health,Broker,AGT000752,2025-02-07,2026-02-07,587713,26967,Monthly,552,Medium,Active,9.47,1.88
POL000000146,CUST00037124,Motor,Bancassurance,AGT002751,2024-12-11,2025-12-11,761727,13442,Annual,271,Low,Active,2.22,0.52
POL000000147,CUST00019589,Whole Life,Corporate Partner,AGT002726,2023-09-30,2024-09-29,1878929,38171,Quarterly,390,Low,Active,14.21,3.4
POL000000148,CUST00087161,Motor,Corporate Partner,AGT004107,2020-10-01,2021-10-01,1264798,13053,Annual,419,Low,Active,19.82,2.99
POL000000149,CUST00067746,Motor,Bancassurance,AGT001723,2024-06-06,2025-06-06,921485,18556,Annual,418,Low,Active,4.65,1.33
POL000000150,CUST00073191,Term Life,Corporate Partner,AGT000332,2020-10-17,2021-10-17,5915813,17549,Monthly,525,Medium,Active,8.02,2.04
POL000000151,CUST00059156,Health,Corporate Partner,AGT003254,2024-10-24,2025-10-24,562187,21911,Annual,394,Low,Cancelled,11.67,4.59
POL000000152,CUST00056522,Motor,Corporate Partner,AGT000078,2023-06-17,2028-06-15,725913,16109,Annual,250,Low,Active,6.51,3.12
POL000000153,CUST00022630,Health,Corporate Partner,AGT001261,2023-10-25,2043-10-20,992438,15703,Monthly,290,Low,Active,0.58,4.35
POL000000154,CUST00063200,Home,Broker,AGT001577,2025-01-05,2044-12-31,2684924,14381,Annual,477,Low,Lapsed,1.32,1.2
POL000000155,CUST00091625,Term Life,Bancassurance,AGT003826,2026-08-14,2027-08-14,5877815,17009,Annual,353,Low,Active,7.89,1.67
POL000000156,CUST00060155,Whole Life,Corporate Partner,AGT002944,2026-07-05,2027-07-05,3525660,47180,Monthly,453,Low,Active,11.49,0.05
POL000000157,CUST00052231,Term Life,Corporate Partner,AGT000337,2019-09-02,2020-09-01,1684362,8515,Annual,388,Low,Active,13.4,2.53
POL000000158,CUST00064015,Personal Accident,Direct,AGT000773,2026-05-19,2036-05-16,706095,3172,Monthly,415,Low,Active,15.04,0.17
POL000000159,CUST00042511,Motor,Online,AGT000513,2019-07-21,2020-07-20,731487,15841,Monthly,344,Low,Active,19.8,0.24
POL000000160,CUST00089126,Commercial,Online,AGT002640,2019-01-18,2020-01-18,4985701,41578,Annual,370,Low,Active,10.2,2.85
POL000000161,CUST00045852,Health,Direct,AGT000640,2019-06-17,2020-06-16,631581,11527,Annual,491,Medium,Active,19.13,4.74
POL000000162,CUST00039421,Health,Agent,AGT000711,2022-01-02,2023-01-02,1033955,23913,Annual,295,Low,Expired,4.88,0.24
POL000000163,CUST00099293,Travel,Corporate Partner,AGT002217,2025-03-08,2026-03-08,194784,2737,Quarterly,406,Low,Active,3.15,4.53
POL000000164,CUST00006563,Commercial,Direct,AGT000156,2021-11-13,2041-11-08,4595557,37661,Monthly,435,Low,Expired,6.03,0.89
POL000000165,CUST00050607,Motor,Corporate Partner,AGT001919,2023-03-29,2024-03-28,994125,11585,Annual,419,Low,Active,13.6,0.59
POL000000166,CUST00014087,Health,Bancassurance,AGT000195,2024-12-30,2025-12-30,581463,30149,Monthly,299,Low,Active,5.94,3.97
POL000000167,CUST00082236,Whole Life,Bancassurance,AGT001119,2021-11-13,2026-11-12,1167771,89822,Annual,455,Low,Active,4.58,1.71
POL000000168,CUST00012094,Term Life,Online,AGT002457,2023-11-01,2024-10-31,6847272,25710,Annual,480,Medium,Active,3.1,4.35
POL000000169,CUST00016261,Health,Broker,AGT001504,2025-09-21,2026-09-21,2195897,22700,Annual,474,Low,Cancelled,14.44,1.41
POL000000170,CUST00036574,Personal Accident,Online,AGT003159,2023-09-01,2028-08-30,2422923,5622,Annual,326,Low,Cancelled,10.63,2.96
POL000000171,CUST00009664,Motor,Bancassurance,AGT000681,2025-05-25,2026-05-25,481461,14854,Annual,470,Low,Active,2.78,0.36
POL000000172,CUST00057956,Commercial,Broker,AGT003089,2022-01-12,2032-01-10,10457122,39336,Half-Yearly,374,Low,Active,5.13,4.37
POL000000173,CUST00079911,Personal Accident,Corporate Partner,AGT003567,2024-11-22,2044-11-17,2201911,5372,Annual,467,Low,Active,14.46,1.89
POL000000174,CUST00086412,Commercial,Broker,AGT001692,2020-05-12,2021-05-12,6203818,63848,Annual,347,Low,Lapsed,8.56,3.32
POL000000175,CUST00012980,Motor,Corporate Partner,AGT004645,2025-10-20,2026-10-20,550562,14774,Monthly,414,Low,Active,17.3,0.52
POL000000176,CUST00004322,Motor,Bancassurance,AGT003129,2024-04-11,2025-04-11,562784,7079,Quarterly,414,Low,Active,9.8,2.52
POL000000177,CUST00017287,Travel,Corporate Partner,AGT003446,2020-09-16,2021-09-16,201991,4501,Monthly,526,Medium,Lapsed,9.64,2.72
POL000000178,CUST00024252,Motor,Bancassurance,AGT000860,2024-05-02,2025-05-02,901938,17500,Annual,452,Low,Active,9.1,3.94
POL000000179,CUST00002943,Motor,Direct,AGT002607,2024-02-08,2044-02-03,553176,11279,Annual,408,Low,Active,12.15,0.17
POL000000180,CUST00036520,Motor,Broker,AGT003064,2023-05-13,2024-05-12,607858,18487,Monthly,417,Low,Active,12.02,2.75
POL000000181,CUST00031910,Travel,Broker,AGT000391,2026-01-26,2036-01-24,205604,4929,Half-Yearly,358,Low,Lapsed,14.72,3.89
POL000000182,CUST00055754,Travel,Agent,AGT002011,2019-02-10,2020-02-10,156675,3115,Monthly,406,Low,Lapsed,3.43,3.71
POL000000183,CUST00054664,Commercial,Broker,AGT004808,2023-08-21,2028-08-19,5279829,42766,Monthly,512,Medium,Active,5.58,3.73
POL000000184,CUST00087994,Motor,Agent,AGT003539,2025-11-14,2026-11-14,445318,8658,Annual,507,Medium,Active,10.24,2.13
POL000000185,CUST00021285,Motor,Corporate Partner,AGT004069,2021-08-09,2022-08-09,426858,14740,Half-Yearly,357,Low,Active,1.73,4.51
POL000000186,CUST00050750,Motor,Bancassurance,AGT002961,2023-04-16,2024-04-15,1287638,11877,Annual,317,Low,Cancelled,7.08,0.37
POL000000187,CUST00012619,Term Life,Direct,AGT002812,2022-02-06,2023-02-06,4987425,14040,Quarterly,362,Low,Active,2.26,1.32
POL000000188,CUST00094263,Health,Bancassurance,AGT000706,2022-01-28,2023-01-28,353273,22747,Annual,364,Low,Active,10.62,2.27
POL000000189,CUST00063492,Health,Broker,AGT003357,2020-09-30,2021-09-30,821097,25083,Monthly,339,Low,Expired,18.57,1.07
POL000000190,CUST00063574,Health,Online,AGT001247,2019-07-21,2039-07-16,1240039,10350,Annual,430,Low,Active,19.81,3.21
POL000000191,CUST00097964,Travel,Corporate Partner,AGT004281,2022-08-23,2023-08-23,557796,5503,Monthly,593,Medium,Active,12.94,1.33
POL000000192,CUST00072045,Home,Agent,AGT001859,2019-11-25,2020-11-24,5015635,10143,Annual,379,Low,Active,8.85,0.08
POL000000193,CUST00082042,Term Life,Direct,AGT002956,2021-05-29,2031-05-27,4729217,13517,Monthly,389,Low,Active,19.09,2.12
