CLAIM_ID,POLICY_ID,CUSTOMER_ID,CLAIM_TYPE,INCIDENT_DATE,REPORTED_DATE,CLAIM_AMOUNT,CLAIM_STATUS,SETTLEMENT_AMOUNT,PROCESSING_DAYS,FRAUD_FLAG,FRAUD_SCORE,SOURCE,CLAIM_SEVERITY
CLM000000037,POL000108279,CUST00028330,Vehicle Damage,2023-04-30,2023-05-06,10799,Approved,9235,21,No,0.317,Surveyor,Low
CLM000000038,POL000042272,CUST00000541,Property Damage,2024-11-17,2024-11-18,5895,Approved,4958,37,No,0.0745,Police,Medium
CLM000000039,POL000103966,CUST00049643,Hospitalization,2023-11-15,2023-11-21,15720,Approved,12968,42,No,0.0951,Third Party,High
CLM000000040,POL000081470,CUST00037995,Liability,2025-08-02,2025-08-06,153678,Rejected,0,13,Confirmed,0.8281,Third Party,Low
CLM000000041,POL000058888,CUST00030225,Accident,2024-11-27,2024-11-27,1775981,Rejected,0,21,No,0.5206,Customer,Low
CLM000000042,POL000142465,CUST00008271,Theft,2024-03-09,2024-03-19,483574,Approved,397908,13,No,0.2551,Third Party,Low
CLM000000043,POL000030791,CUST00013917,Theft,2024-08-13,2024-08-26,103055,Approved,101460,30,No,0.7785,Surveyor,Low
CLM000000044,POL000076354,CUST00092532,Liability,2022-03-02,2022-03-05,769558,Approved,727263,23,No,0.5207,Surveyor,Low
CLM000000045,POL000045464,CUST00071046,Theft,2024-11-17,2024-11-21,7037,Approved,6649,12,No,0.9373,Third Party,Medium
CLM000000046,POL000111486,CUST00021374,Property Damage,2022-11-18,2022-11-23,341945,Approved,333503,27,Suspected,0.8515,Police,High
CLM000000047,POL000004906,CUST00098068,Property Damage,2023-11-06,2023-11-06,218162,Approved,187725,31,No,0.2371,Surveyor,Medium
CLM000000048,POL000065577,CUST00054339,Vehicle Damage,2025-01-29,2025-01-29,44982,Approved,38808,15,No,0.5047,Hospital,Low
CLM000000049,POL000006723,CUST00018666,Liability,2026-05-24,2026-05-28,461315,Approved,431385,10,No,0.4627,Customer,Low
CLM000000050,POL000064754,CUST00053187,Hospitalization,2026-01-26,2026-02-04,1515025,Pending,0,18,No,0.1196,Surveyor,Low
CLM000000051,POL000111056,CUST00035755,Vehicle Damage,2025-10-23,2025-10-25,10081,Approved,9791,14,No,0.8744,Hospital,Medium
CLM000000052,POL000147450,CUST00099273,Theft,2026-06-27,2026-07-05,7870,Pending,0,7,No,0.3021,Customer,Medium
CLM000000053,POL000146448,CUST00059777,Death,2026-01-29,2026-02-05,235452,Approved,219184,26,No,0.2321,Third Party,Low
CLM000000054,POL000069623,CUST00094024,Theft,2023-03-20,2023-04-02,16084,Approved,13687,30,No,0.2099,Customer,High
CLM000000055,POL000099041,CUST00029165,Theft,2024-04-23,2024-04-25,106663,Approved,104462,5,No,0.4989,Third Party,Low
CLM000000056,POL000084796,CUST00034085,Liability,2023-09-18,2023-09-30,133936,Partially Approved,99187,12,No,0.8616,Surveyor,Medium
CLM000000057,POL000065108,CUST00023579,Hospitalization,2024-07-28,2024-08-02,423660,Approved,400475,8,No,0.1088,Third Party,Low
CLM000000058,POL000123828,CUST00067100,Liability,2025-08-29,2025-09-04,78446,Approved,77478,35,No,0.9902,Surveyor,Low
CLM000000059,POL000087000,CUST00032021,Hospitalization,2023-04-15,2023-04-19,13863,Rejected,0,21,No,0.9409,Garage,Low
CLM000000060,POL000065398,CUST00081664,Death,2023-01-25,2023-02-01,104440,Approved,96850,37,No,0.4147,Third Party,Low
CLM000000061,POL000124946,CUST00094415,Accident,2022-06-18,2022-06-25,13286,Partially Approved,6312,23,No,0.945,Police,Medium
CLM000000062,POL000034273,CUST00082360,Travel Disruption,2026-04-09,2026-04-15,142859,Approved,125160,34,No,0.8039,Customer,Medium
CLM000000063,POL000046278,CUST00045382,Death,2025-10-28,2025-10-29,425188,Under Investigation,0,32,No,0.6835,Customer,Medium
CLM000000064,POL000026550,CUST00087430,Death,2024-12-08,2024-12-10,139176,Approved,136912,22,No,0.4289,Customer,Low
CLM000000065,POL000057691,CUST00055537,Hospitalization,2025-02-11,2025-02-11,1045552,Approved,1002070,10,No,0.9106,Garage,Medium
CLM000000066,POL000013352,CUST00031051,Death,2025-03-26,2025-03-30,20485,Approved,16667,22,Suspected,0.3849,Police,Low
CLM000000067,POL000113856,CUST00098302,Theft,2022-12-11,2022-12-18,88233,Approved,79670,4,No,0.5003,Third Party,Medium
CLM000000068,POL000097322,CUST00096248,Theft,2025-07-29,2025-07-30,22506,Approved,19427,41,No,0.0234,Hospital,Medium
CLM000000069,POL000013182,CUST00056670,Hospitalization,2026-01-17,2026-01-18,70857,Approved,60321,20,No,0.954,Surveyor,Low
CLM000000070,POL000073822,CUST00073247,Death,2025-12-17,2025-12-22,16248,Approved,15160,8,No,0.3293,Third Party,Low
CLM000000071,POL000122234,CUST00088417,Theft,2024-06-21,2024-06-23,11874,Approved,10453,15,No,0.9641,Surveyor,Medium
CLM000000072,POL000040024,CUST00072231,Liability,2025-09-06,2025-09-15,13132,Approved,10725,17,No,0.9803,Surveyor,Low
CLM000000073,POL000058409,CUST00037246,Travel Disruption,2025-06-13,2025-06-15,925285,Approved,872484,33,No,0.237,Hospital,Low
CLM000000074,POL000124700,CUST00065326,Accident,2024-04-19,2024-04-27,36948,Pending,0,34,No,0.828,Third Party,Medium
CLM000000075,POL000121982,CUST00025833,Property Damage,2023-04-25,2023-04-28,15655,Approved,14948,24,No,0.2294,Third Party,Medium
CLM000000076,POL000062656,CUST00050559,Vehicle Damage,2022-07-04,2022-07-08,4224,Approved,3484,13,No,0.1237,Hospital,Medium
CLM000000077,POL000062948,CUST00005630,Property Damage,2022-04-11,2022-04-26,34708,Approved,33636,7,No,0.3015,Third Party,Low
CLM000000078,POL000021033,CUST00083315,Accident,2022-08-19,2022-08-25,9679,Approved,9597,22,No,0.2673,Hospital,Low
CLM000000079,POL000015286,CUST00006586,Death,2025-06-09,2025-06-12,29746,Approved,27022,21,No,0.6183,Customer,Medium
CLM000000080,POL000054555,CUST00052068,Accident,2024-11-06,2024-11-10,254590,Approved,226685,11,No,0.0645,Police,Medium
CLM000000081,POL000140660,CUST00039355,Accident,2023-12-14,2023-12-20,29446,Approved,27633,13,No,0.415,Surveyor,Medium
CLM000000082,POL000061377,CUST00052801,Theft,2025-02-17,2025-02-21,44293,Approved,43442,6,No,0.5907,Third Party,Medium
CLM000000083,POL000035014,CUST00094866,Accident,2026-05-12,2026-05-20,3826891,Approved,3487352,39,No,0.8437,Customer,Medium
CLM000000084,POL000099469,CUST00054420,Death,2023-04-18,2023-04-18,55200,Approved,55078,19,No,0.8691,Third Party,Medium
CLM000000085,POL000032377,CUST00022461,Travel Disruption,2022-02-24,2022-02-25,162479,Approved,150842,16,No,0.1428,Police,Medium
CLM000000086,POL000142962,CUST00099989,Liability,2022-06-07,2022-06-08,47876,Approved,47768,6,No,0.6123,Customer,Medium
CLM000000087,POL000014641,CUST00021940,Accident,2026-02-09,2026-02-10,496905,Approved,410906,53,No,0.3559,Surveyor,Low
CLM000000088,POL000004525,CUST00083053,Vehicle Damage,2026-02-05,2026-02-09,33579,Approved,33526,6,No,0.2743,Hospital,Medium
CLM000000089,POL000141708,CUST00028827,Liability,2025-05-04,2025-05-10,660193,Rejected,0,17,No,0.6005,Third Party,Low
CLM000000090,POL000000626,CUST00090185,Accident,2026-02-12,2026-02-18,766975,Under Investigation,0,28,No,0.3855,Police,Medium
CLM000000091,POL000085087,CUST00053343,Liability,2022-05-12,2022-05-16,549958,Approved,459379,10,No,0.5662,Police,Low
CLM000000092,POL000089871,CUST00059147,Death,2023-10-06,2023-10-08,116361,Approved,107512,33,Suspected,0.7172,Hospital,Low
CLM000000093,POL000005887,CUST00005144,Liability,2024-05-26,2024-05-26,36899,Rejected,0,20,Confirmed,0.8289,Garage,Medium
CLM000000094,POL000043022,CUST00066502,Property Damage,2023-12-05,2023-12-11,552831,Approved,487152,6,No,0.8118,Third Party,Medium
CLM000000095,POL000110327,CUST00055233,Property Damage,2025-10-27,2025-11-09,133842,Approved,114177,24,No,0.394,Garage,Low
CLM000000096,POL000079052,CUST00004796,Accident,2026-08-23,2026-09-03,115352,Approved,105075,26,No,0.1912,Surveyor,Medium
CLM000000097,POL000009869,CUST00045533,Theft,2023-04-14,2023-04-17,60314,Partially Approved,23036,19,No,0.5417,Customer,Medium
CLM000000098,POL000040541,CUST00029494,Hospitalization,2024-04-10,2024-04-12,132543,Approved,106574,8,No,0.6709,Hospital,High
CLM000000099,POL000105739,CUST00056748,Travel Disruption,2022-11-25,2022-11-30,44554,Approved,39689,16,No,0.7276,Customer,Medium
CLM000000100,POL000015407,CUST00099575,Death,2026-06-07,2026-06-12,54118,Approved,49132,16,No,0.5456,Police,Low
CLM000000101,POL000023328,CUST00080552,Travel Disruption,2023-11-03,2023-11-06,58339,Under Investigation,0,41,No,0.5963,Police,Low
CLM000000102,POL000077401,CUST00042395,Theft,2022-11-12,2022-11-18,71919,Approved,64781,54,No,0.872,Garage,Low
CLM000000103,POL000085531,CUST00029883,Theft,2025-05-01,2025-05-06,50452,Approved,45848,9,No,0.3014,Police,Low
CLM000000104,POL000031973,CUST00022679,Property Damage,2024-08-23,2024-08-24,76929,Approved,64265,31,No,0.8348,Surveyor,Medium
CLM000000105,POL000093281,CUST00032718,Death,2025-01-29,2025-01-31,385767,Pending,0,8,No,0.5706,Police,Low
CLM000000106,POL000073114,CUST00044400,Accident,2023-11-02,2023-11-05,207410,Pending,0,19,No,0.7374,Customer,Medium
CLM000000107,POL000084187,CUST00070703,Travel Disruption,2022-01-14,2022-01-23,130621,Approved,127432,4,No,0.9281,Police,High
CLM000000108,POL000119207,CUST00053607,Travel Disruption,2024-03-22,2024-03-24,16255,Approved,14703,15,No,0.7871,Police,Low
CLM000000109,POL000055938,CUST00039669,Vehicle Damage,2024-07-06,2024-07-11,30570,Partially Approved,20642,27,No,0.2451,Garage,Medium
CLM000000110,POL000138460,CUST00008647,Vehicle Damage,2022-11-09,2022-11-19,229651,Under Investigation,0,19,No,0.3929,Garage,Low
CLM000000111,POL000067377,CUST00029283,Death,2025-12-30,2026-01-01,835108,Approved,828982,27,No,0.7321,Garage,Low
CLM000000112,POL000149829,CUST00047242,Hospitalization,2022-06-10,2022-06-17,2822872,Approved,2646925,18,No,0.2336,Garage,Low
CLM000000113,POL000133368,CUST00049291,Vehicle Damage,2022-11-27,2022-11-30,628133,Approved,560131,44,No,0.4951,Garage,Medium
CLM000000114,POL000119788,CUST00034622,Theft,2024-12-26,2024-12-28,198164,Approved,173730,16,No,0.3993,Police,Low
CLM000000115,POL000096968,CUST00033706,Vehicle Damage,2025-11-22,2025-11-24,52975,Approved,45689,21,No,0.6448,Garage,Low
CLM000000116,POL000125308,CUST00094594,Theft,2024-01-20,2024-01-23,405059,Rejected,0,18,No,0.3952,Hospital,Medium
CLM000000117,POL000092662,CUST00001308,Liability,2022-08-16,2022-08-27,53473,Approved,51914,29,No,0.5843,Surveyor,Medium
CLM000000118,POL000126048,CUST00031957,Death,2024-01-24,2024-02-02,29107,Under Investigation,0,19,No,0.9437,Hospital,Low
CLM000000119,POL000137270,CUST00041400,Vehicle Damage,2026-05-10,2026-05-16,337282,Approved,329090,17,No,0.2215,Garage,Low
CLM000000120,POL000102295,CUST00020423,Accident,2022-10-19,2022-10-25,353820,Approved,352477,16,Suspected,0.2681,Police,Low
CLM000000121,POL000057724,CUST00081539,Property Damage,2026-02-20,2026-02-22,62236,Approved,52381,18,No,0.2531,Customer,Low
CLM000000122,POL000033750,CUST00051482,Theft,2025-02-12,2025-02-14,659207,Approved,534571,36,No,0.3682,Garage,Medium
CLM000000123,POL000009420,CUST00098933,Travel Disruption,2025-08-05,2025-08-10,11195,Approved,9087,42,No,0.0088,Garage,Medium
CLM000000124,POL000053565,CUST00056906,Vehicle Damage,2024-10-30,2024-11-04,492818,Approved,440474,11,No,0.008,Third Party,Low
CLM000000125,POL000135626,CUST00020280,Vehicle Damage,2026-02-06,2026-02-10,1697005,Approved,1679423,17,No,0.1717,Surveyor,Low
CLM000000126,POL000000225,CUST00042240,Hospitalization,2026-01-14,2026-01-16,60320,Approved,53844,12,No,0.059,Third Party,Medium
CLM000000127,POL000031718,CUST00079944,Travel Disruption,2025-06-11,2025-06-13,101562,Approved,89415,11,No,0.9269,Garage,Low
CLM000000128,POL000119806,CUST00061174,Liability,2026-05-27,2026-05-31,2289,Approved,1899,14,No,0.5084,Customer,Medium
CLM000000129,POL000101848,CUST00032526,Hospitalization,2026-01-30,2026-02-08,352133,Pending,0,17,No,0.6993,Police,Medium
CLM000000130,POL000045720,CUST00043097,Accident,2023-12-17,2023-12-18,662576,Under Investigation,0,7,No,0.0956,Police,Medium
CLM000000131,POL000075342,CUST00089739,Property Damage,2022-02-01,2022-02-08,62313,Approved,53527,52,No,0.7191,Police,High
CLM000000132,POL000063482,CUST00088458,Property Damage,2025-10-18,2025-10-20,91493,Approved,91081,16,No,0.2192,Surveyor,Medium
CLM000000133,POL000105269,CUST00016155,Death,2022-04-09,2022-04-11,189019,Approved,180236,32,No,0.5542,Surveyor,Low
CLM000000134,POL000026498,CUST00068655,Travel Disruption,2024-12-01,2024-12-03,89349,Approved,81227,39,No,0.059,Surveyor,Low
CLM000000135,POL000060205,CUST00050700,Death,2024-11-09,2024-11-10,38677,Approved,38503,22,No,0.9283,Police,Low
CLM000000136,POL000089520,CUST00029287,Death,2022-01-15,2022-01-20,229036,Under Investigation,0,5,No,0.6641,Hospital,Low
CLM000000137,POL000009312,CUST00022911,Hospitalization,2024-03-31,2024-04-04,156773,Partially Approved,111993,20,No,0.2558,Customer,Low
CLM000000138,POL000037913,CUST00088505,Death,2023-04-11,2023-05-05,208891,Approved,195921,14,No,0.7632,Hospital,Medium
CLM000000139,POL000038678,CUST00065910,Travel Disruption,2022-12-16,2022-12-20,46834,Rejected,0,9,No,0.4985,Hospital,Medium
CLM000000140,POL000109295,CUST00002949,Theft,2026-01-09,2026-01-14,114518,Pending,0,4,No,0.1966,Police,Medium
CLM000000141,POL000065931,CUST00087341,Hospitalization,2023-07-19,2023-07-27,206496,Approved,177980,11,No,0.3895,Surveyor,Medium
CLM000000142,POL000054147,CUST00045541,Liability,2024-12-11,2024-12-13,91795,Approved,81739,54,No,0.62,Garage,Low
CLM000000143,POL000068649,CUST00083329,Accident,2026-08-27,2026-09-03,37949,Partially Approved,18430,17,No,0.1795,Police,Medium
CLM000000144,POL000090161,CUST00037738,Theft,2024-08-18,2024-08-21,103087,Approved,91533,9,No,0.2727,Police,Low
CLM000000145,POL000067973,CUST00077454,Theft,2022-11-11,2022-11-20,370746,Pending,0,6,No,0.679,Customer,Low
CLM000000146,POL000046660,CUST00070085,Liability,2023-05-13,2023-05-13,446120,Partially Approved,213349,35,No,0.821,Third Party,High
CLM000000147,POL000130946,CUST00039999,Travel Disruption,2023-06-09,2023-06-12,279207,Under Investigation,0,24,No,0.6962,Surveyor,Low
CLM000000148,POL000099838,CUST00095061,Hospitalization,2024-03-02,2024-03-06,9178,Rejected,0,15,No,0.2154,Customer,Medium
CLM000000149,POL000068314,CUST00007053,Theft,2026-06-06,2026-06-17,228070,Under Investigation,0,9,No,0.0949,Surveyor,Medium
CLM000000150,POL000006028,CUST00037043,Hospitalization,2024-11-10,2024-11-15,222262,Approved,192089,7,No,0.2116,Surveyor,Medium
CLM000000151,POL000113671,CUST00019446,Liability,2023-12-28,2023-12-31,44680,Approved,38310,44,No,0.8918,Hospital,Medium
CLM000000152,POL000119198,CUST00092538,Travel Disruption,2024-12-27,2024-12-29,1048818,Partially Approved,502138,35,Suspected,0.3734,Hospital,Low
CLM000000153,POL000098814,CUST00029411,Death,2025-09-16,2025-09-23,43645,Approved,37292,7,No,0.8,Surveyor,High
CLM000000154,POL000125968,CUST00052513,Accident,2025-07-18,2025-07-24,765261,Approved,652941,4,No,0.6983,Garage,Medium
CLM000000155,POL000086748,CUST00007680,Vehicle Damage,2026-03-09,2026-03-11,22649,Approved,19840,16,No,0.0324,Surveyor,Low
CLM000000156,POL000084445,CUST00059925,Liability,2023-05-03,2023-05-12,55242,Approved,54835,41,No,0.7123,Police,Low
CLM000000157,POL000140453,CUST00004238,Vehicle Damage,2025-11-30,2025-12-15,69844,Pending,0,12,No,0.9659,Third Party,Low
CLM000000158,POL000078691,CUST00016775,Hospitalization,2022-05-22,2022-05-26,8432,Approved,8132,17,No,0.0983,Surveyor,Medium
CLM000000159,POL000004050,CUST00001566,Travel Disruption,2023-03-25,2023-03-31,4543,Approved,3975,29,No,0.202,Customer,Low
CLM000000160,POL000057232,CUST00091722,Accident,2026-06-10,2026-06-25,2530792,Approved,2341901,22,No,0.8754,Hospital,Medium
CLM000000161,POL000001389,CUST00059164,Liability,2025-11-20,2025-12-05,19947,Approved,19380,14,No,0.5654,Third Party,Medium
CLM000000162,POL000045975,CUST00076623,Liability,2025-07-18,2025-07-22,551801,Partially Approved,206300,14,No,0.1685,Customer,Medium
CLM000000163,POL000036000,CUST00061502,Theft,2026-07-15,2026-07-21,30116,Approved,24186,14,No,0.5986,Third Party,Medium
CLM000000164,POL000143839,CUST00079241,Death,2022-01-07,2022-01-12,6961,Approved,6813,11,No,0.9263,Third Party,Medium
CLM000000165,POL000018226,CUST00028597,Vehicle Damage,2023-02-06,2023-02-07,43344,Under Investigation,0,18,No,0.0687,Police,Low
CLM000000166,POL000081641,CUST00028138,Liability,2026-05-15,2026-05-17,57176,Approved,51877,9,No,0.0579,Third Party,Low
CLM000000167,POL000020151,CUST00074346,Vehicle Damage,2023-06-15,2023-06-21,34061,Under Investigation,0,35,No,0.8753,Customer,Low
CLM000000168,POL000125157,CUST00073405,Travel Disruption,2024-08-20,2024-08-28,21748,Approved,18150,19,No,0.3931,Garage,Medium
CLM000000169,POL000030339,CUST00049360,Theft,2024-05-04,2024-05-14,182697,Rejected,0,30,No,0.0524,Customer,Medium
CLM000000170,POL000027277,CUST00023673,Vehicle Damage,2023-04-15,2023-04-19,818061,Approved,681507,18,No,0.8894,Customer,Low
CLM000000171,POL000008529,CUST00062801,Hospitalization,2025-05-12,2025-05-17,14158,Rejected,0,15,No,0.741,Police,Low
CLM000000172,POL000003393,CUST00081248,Vehicle Damage,2024-11-20,2024-12-01,391193,Approved,356433,17,No,0.8242,Garage,Low
CLM000000173,POL000067537,CUST00011594,Liability,2023-09-29,2023-10-02,495431,Approved,443724,21,No,0.5652,Surveyor,Low
CLM000000174,POL000000569,CUST00000464,Vehicle Damage,2026-05-27,2026-05-30,268008,Approved,262160,42,No,0.2914,Customer,Medium
CLM000000175,POL000054905,CUST00066175,Travel Disruption,2024-02-08,2024-02-14,42073,Partially Approved,24270,11,No,0.0556,Garage,Medium
CLM000000176,POL000073954,CUST00073117,Theft,2024-06-30,2024-07-05,239499,Partially Approved,120012,28,No,0.4477,Third Party,Medium
CLM000000177,POL000133106,CUST00007768,Travel Disruption,2026-02-24,2026-03-01,65641,Approved,58672,32,No,0.6314,Hospital,Low
CLM000000178,POL000062183,CUST00035975,Death,2024-08-24,2024-08-31,308729,Approved,285670,15,No,0.6323,Customer,Medium
CLM000000179,POL000103307,CUST00009135,Property Damage,2022-10-19,2022-10-23,107910,Approved,90772,48,No,0.1089,Surveyor,Medium
CLM000000180,POL000023777,CUST00062306,Accident,2024-09-14,2024-09-21,61962,Approved,53134,23,No,0.9487,Police,Medium
CLM000000181,POL000085421,CUST00094344,Accident,2024-05-14,2024-05-22,27844,Approved,26280,23,No,0.3106,Customer,High
CLM000000182,POL000122504,CUST00039219,Death,2024-03-06,2024-03-11,376294,Approved,324675,15,No,0.0838,Surveyor,Medium
CLM000000183,POL000076436,CUST00086042,Liability,2025-05-02,2025-05-04,1249350,Approved,1044534,9,No,0.646,Customer,Medium
CLM000000184,POL000026995,CUST00002294,Theft,2024-07-18,2024-07-23,102718,Partially Approved,68757,35,No,0.8126,Customer,Low
CLM000000185,POL000148096,CUST00018147,Death,2023-05-14,2023-05-16,511766,Partially Approved,240099,61,No,0.3898,Third Party,Low
CLM000000186,POL000013770,CUST00097757,Death,2025-09-20,2025-10-05,169479,Approved,154494,14,No,0.0757,Garage,Medium
CLM000000187,POL000049634,CUST00062658,Death,2022-12-21,2022-12-31,1818101,Approved,1576873,19,No,0.1918,Third Party,Low
CLM000000188,POL000023437,CUST00075991,Death,2022-06-13,2022-06-25,47517,Approved,38940,12,No,0.5961,Hospital,Low
CLM000000189,POL000023095,CUST00040873,Hospitalization,2026-07-29,2026-08-01,598557,Under Investigation,0,43,No,0.5591,Third Party,Low
CLM000000190,POL000004325,CUST00052584,Theft,2025-12-18,2025-12-25,107440,Approved,90565,16,No,0.5615,Surveyor,Low
CLM000000191,POL000096240,CUST00074210,Property Damage,2022-01-17,2022-01-25,1069983,Approved,890018,22,No,0.653,Customer,Low
CLM000000192,POL000149761,CUST00057850,Vehicle Damage,2024-03-31,2024-04-06,224203,Approved,202199,14,No,0.8155,Surveyor,Medium
CLM000000193,POL000110798,CUST00030332,Death,2023-05-17,2023-05-19,322302,Approved,292279,29,No,0.6492,Surveyor,High
CLM000000194,POL000013190,CUST00056413,Accident,2025-06-08,2025-06-19,231351,Approved,190730,21,No,0.1503,Hospital,Low
CLM000000195,POL000012032,CUST00006855,Accident,2024-10-30,2024-11-03,296587,Approved,294741,7,No,0.0459,Third Party,Low
CLM000000196,POL000125967,CUST00058346,Theft,2026-01-23,2026-01-25,354936,Pending,0,12,No,0.9378,Third Party,Low
CLM000000197,POL000009562,CUST00004308,Travel Disruption,2022-01-03,2022-01-09,255466,Approved,242624,7,No,0.689,Hospital,Low
CLM000000198,POL000008703,CUST00015089,Vehicle Damage,2025-02-28,2025-03-01,420164,Approved,367575,29,No,0.8644,Third Party,Medium
CLM000000199,POL000110326,CUST00031475,Liability,2026-03-30,2026-03-30,41143,Approved,38237,17,No,0.2908,Customer,Low
CLM000000200,POL000103920,CUST00047756,Vehicle Damage,2025-11-19,2025-11-26,330599,Approved,313762,18,No,0.742,Garage,Medium
CLM000000201,POL000031111,CUST00082842,Liability,2025-03-03,2025-03-12,691747,Approved,658956,3,Suspected,0.5636,Surveyor,Medium
CLM000000202,POL000121194,CUST00031377,Accident,2025-09-18,2025-09-29,108628,Approved,92458,13,No,0.982,Surveyor,Medium
CLM000000203,POL000131090,CUST00065446,Hospitalization,2026-02-09,2026-02-11,40166,Approved,36421,19,No,0.4399,Garage,Low
CLM000000204,POL000008750,CUST00069173,Vehicle Damage,2024-12-12,2024-12-19,48923,Approved,39915,65,No,0.2189,Garage,Low
CLM000000205,POL000019014,CUST00093833,Theft,2023-07-14,2023-07-16,178657,Rejected,0,13,No,0.0309,Police,Low
